diseaseID,featureID,operation,groupType
disease_76d1eac0,feature_9c849648,diagnose,similar
disease_76d1eac0,feature_f09eb001,diagnose,similar
disease_76d1eac0,feature_2d79eaa5,diagnose,different
disease_76d1eac0,feature_0e983019,diagnose,different
disease_76d1eac0,feature_3fcf6660,diagnose,different
disease_76d1eac0,feature_c401cc49,diagnose,different
disease_76d1eac0,feature_fde500b9,diagnose,different
disease_76d1eac0,feature_39cc64eb,diagnose,different
disease_76d1eac0,feature_5a95e735,diagnose,different
disease_76d1eac0,feature_8014228c,diagnose,different
disease_76d1eac0,feature_7e5c1c0e,diagnose,different
disease_76d1eac0,feature_f3e73670,diagnose,different
disease_76d1eac0,feature_d5983247,diagnose,different
disease_2af16922,feature_319e2472,diagnose,similar
disease_2af16922,feature_237e1327,diagnose,similar
disease_2af16922,feature_4d707176,diagnose,similar
disease_2af16922,feature_98b049fe,diagnose,similar
disease_2af16922,feature_f2f19f26,diagnose,similar
disease_2af16922,feature_c401cc49,diagnose,different
disease_2af16922,feature_deb1173a,diagnose,different
disease_2af16922,feature_47c65b73,diagnose,different
disease_2af16922,feature_47fec793,diagnose,different
disease_2af16922,feature_24ca5466,diagnose,different
disease_2af16922,feature_c32932f3,diagnose,different
disease_2af16922,feature_ca038d43,diagnose,different
disease_2af16922,feature_55e3dea8,diagnose,different
disease_06211d6c,feature_33457b2c,diagnose,similar
disease_06211d6c,feature_b9103623,diagnose,similar
disease_06211d6c,feature_2a4dfb84,diagnose,different
disease_06211d6c,feature_164d59db,diagnose,different
disease_06211d6c,feature_2fed325f,diagnose,different
disease_06211d6c,feature_09dd0f69,diagnose,different
disease_06211d6c,feature_99cb4929,diagnose,different
disease_06211d6c,feature_39ae1f95,diagnose,different
disease_ebbe3509,feature_80ac034c,diagnose,similar
disease_ebbe3509,feature_98b049fe,diagnose,similar
disease_ebbe3509,feature_f2f19f26,diagnose,similar
disease_ebbe3509,feature_89c7e9f2,diagnose,different
disease_ebbe3509,feature_c2f92636,diagnose,different
disease_ebbe3509,feature_71fa1116,diagnose,different
disease_ebbe3509,feature_64529aba,diagnose,different
disease_ebbe3509,feature_6f3567e6,diagnose,different
disease_ebbe3509,feature_168c3bee,diagnose,different
disease_ebbe3509,feature_8ba05c3b,diagnose,different
disease_ebbe3509,feature_d55107e3,diagnose,different
disease_e97a83e4,feature_111a63b4,diagnose,similar
disease_e97a83e4,feature_39516261,diagnose,similar
disease_e97a83e4,feature_a075ee64,diagnose,similar
disease_e97a83e4,feature_bf8dea14,diagnose,different
disease_e97a83e4,feature_2fedaf48,diagnose,different
disease_e97a83e4,feature_55c35aac,diagnose,different
disease_12c5642f,feature_31f2bdbf,diagnose,similar
disease_12c5642f,feature_9d00dab1,diagnose,similar
disease_12c5642f,feature_1576ca7f,diagnose,similar
disease_12c5642f,feature_b2059891,diagnose,similar
disease_12c5642f,feature_e1831610,diagnose,similar
disease_12c5642f,feature_a608d453,diagnose,different
disease_12c5642f,feature_5662106c,diagnose,different
disease_12c5642f,feature_eef01d92,diagnose,different
disease_12c5642f,feature_3cdc48c4,diagnose,different
disease_12c5642f,feature_3a0bd5c6,diagnose,different
disease_12c5642f,feature_4e30f32e,diagnose,different
disease_29b075c6,feature_cf397a92,diagnose,similar
disease_29b075c6,feature_a075ee64,diagnose,similar
disease_29b075c6,feature_4d332c95,diagnose,similar
disease_29b075c6,feature_11ce046f,diagnose,similar
disease_29b075c6,feature_74010029,diagnose,similar
disease_29b075c6,feature_34466703,diagnose,different
disease_29b075c6,feature_47c65b73,diagnose,different
disease_29b075c6,feature_e21e08b5,diagnose,different
disease_29b075c6,feature_52e82abe,diagnose,different
disease_a9e54ef4,feature_0f5196cb,diagnose,similar
disease_a9e54ef4,feature_aa776c68,diagnose,similar
disease_a9e54ef4,feature_00c705fd,diagnose,similar
disease_a9e54ef4,feature_39516261,diagnose,similar
disease_a9e54ef4,feature_fe280f3f,diagnose,similar
disease_a9e54ef4,feature_0404c7cb,diagnose,different
disease_a9e54ef4,feature_f53ff0a3,diagnose,different
disease_a9e54ef4,feature_d160a3b4,diagnose,different
disease_a9e54ef4,feature_7c722446,diagnose,different
disease_a9e54ef4,feature_ef0efeda,diagnose,different
disease_a9e54ef4,feature_e62afb4a,diagnose,different
disease_902e9c0a,feature_1a81435f,diagnose,similar
disease_902e9c0a,feature_5c7c720e,diagnose,similar
disease_902e9c0a,feature_226797fb,diagnose,similar
disease_902e9c0a,feature_39516261,diagnose,similar
disease_902e9c0a,feature_fe280f3f,diagnose,similar
disease_902e9c0a,feature_c051c55d,diagnose,different
disease_902e9c0a,feature_3edd286f,diagnose,different
disease_d68f3188,feature_112a0282,diagnose,similar
disease_d68f3188,feature_f29f9408,diagnose,similar
disease_d68f3188,feature_a8066c0f,diagnose,similar
disease_d68f3188,feature_4f4cde81,diagnose,similar
disease_d68f3188,feature_6f1e10f9,diagnose,different
disease_d68f3188,feature_f65a47fc,diagnose,different
disease_d68f3188,feature_81146c2e,diagnose,different
disease_d68f3188,feature_4007a845,diagnose,different
disease_d68f3188,feature_339c9d09,diagnose,different
disease_badabbaf,feature_a26a8dcf,diagnose,similar
disease_badabbaf,feature_2dd17736,diagnose,similar
disease_badabbaf,feature_a0158c57,diagnose,similar
disease_badabbaf,feature_9543dadb,diagnose,different
disease_badabbaf,feature_40de5ba9,diagnose,different
disease_badabbaf,feature_f69057c8,diagnose,different
disease_badabbaf,feature_a7a0ef85,diagnose,different
disease_badabbaf,feature_83bc727a,diagnose,different
disease_badabbaf,feature_d5cc3ed1,diagnose,different
disease_badabbaf,feature_cb60fd3a,diagnose,different
disease_badabbaf,feature_8ca6f96f,diagnose,different
disease_badabbaf,feature_ebf29750,diagnose,different
disease_badabbaf,feature_bb43f26c,diagnose,different
disease_309dbcf1,feature_a8066c0f,diagnose,similar
disease_309dbcf1,feature_eec8c497,diagnose,similar
disease_309dbcf1,feature_47f74430,diagnose,similar
disease_309dbcf1,feature_f3bf4e9b,diagnose,different
disease_309dbcf1,feature_39cef660,diagnose,different
disease_309dbcf1,feature_2842299c,diagnose,different
disease_309dbcf1,feature_722df901,diagnose,different
disease_309dbcf1,feature_c23da6fa,diagnose,different
disease_b40e2573,feature_a8066c0f,diagnose,similar
disease_b40e2573,feature_f9eea5d1,diagnose,similar
disease_b40e2573,feature_f6f514f1,diagnose,similar
disease_b40e2573,feature_f49cc329,diagnose,similar
disease_b40e2573,feature_d565f635,diagnose,different
disease_b40e2573,feature_b0fcf395,diagnose,different
disease_b40e2573,feature_d1073a84,diagnose,different
disease_e57bb38d,feature_5a395ba0,diagnose,similar
disease_e57bb38d,feature_0a63ce1a,diagnose,similar
disease_e57bb38d,feature_56fca75c,diagnose,different
disease_e57bb38d,feature_0f9f7bc3,diagnose,different
disease_e57bb38d,feature_1508ac2f,diagnose,different
disease_e57bb38d,feature_9da36060,diagnose,different
disease_e57bb38d,feature_b223744d,diagnose,different
disease_e57bb38d,feature_e440d8b2,diagnose,different
disease_e57bb38d,feature_65d4876a,diagnose,different
disease_8e2180bf,feature_2d402d62,diagnose,similar
disease_8e2180bf,feature_a8ae2e19,diagnose,similar
disease_8e2180bf,feature_5e90aa13,diagnose,similar
disease_8e2180bf,feature_7cdd8a32,diagnose,similar
disease_8e2180bf,feature_683ef19d,diagnose,similar
disease_8e2180bf,feature_636ac3f8,diagnose,different
disease_8e2180bf,feature_952069ee,diagnose,different
disease_8e2180bf,feature_5babf566,diagnose,different
disease_8e2180bf,feature_fdc226e4,diagnose,different
disease_8e2180bf,feature_ef0efeda,diagnose,different
disease_8e2180bf,feature_9d00caac,diagnose,different
disease_8e2180bf,feature_db6b142d,diagnose,different
disease_8e2180bf,feature_9d00caac,diagnose,different
disease_8e2180bf,feature_9f26222f,diagnose,different
disease_0c38efe9,feature_72462d18,diagnose,similar
disease_0c38efe9,feature_b56fff12,diagnose,similar
disease_0c38efe9,feature_c828c384,diagnose,similar
disease_0c38efe9,feature_6018d20d,diagnose,similar
disease_0c38efe9,feature_a070c7c4,diagnose,different
disease_0c38efe9,feature_ec3964a7,diagnose,different
disease_0c38efe9,feature_0c49e571,diagnose,different
disease_0c38efe9,feature_75dc4612,diagnose,different
disease_0c38efe9,feature_03a3a2b0,diagnose,different
disease_0c38efe9,feature_d9498241,diagnose,different
disease_82525932,feature_a8ae2e19,diagnose,similar
disease_82525932,feature_2761199f,diagnose,similar
disease_82525932,feature_a629a04c,diagnose,similar
disease_82525932,feature_12d7c759,diagnose,similar
disease_82525932,feature_a0d21f54,diagnose,similar
disease_82525932,feature_77da3a81,diagnose,different
disease_82525932,feature_c189772b,diagnose,different
disease_82525932,feature_86948ad9,diagnose,different
disease_82525932,feature_3a0bc586,diagnose,different
disease_82525932,feature_d769cf50,diagnose,different
disease_82525932,feature_91e1d82c,diagnose,different
disease_82525932,feature_90af1f71,diagnose,different
disease_82525932,feature_4497668c,diagnose,different
disease_82525932,feature_ab816041,diagnose,different
disease_7b86ef24,feature_6f929a5d,diagnose,similar
disease_7b86ef24,feature_88b35975,diagnose,similar
disease_7b86ef24,feature_cb8430b3,diagnose,different
disease_7b86ef24,feature_dc1cd67c,diagnose,different
disease_7b86ef24,feature_935b554d,diagnose,different
disease_7b86ef24,feature_3cd3c779,diagnose,different
disease_7b86ef24,feature_cea4171d,diagnose,different
disease_51fc1226,feature_5028eeed,diagnose,similar
disease_51fc1226,feature_dcd19470,diagnose,similar
disease_51fc1226,feature_5a5ce8b9,diagnose,similar
disease_51fc1226,feature_2bf7ed46,diagnose,similar
disease_51fc1226,feature_6d6bc636,diagnose,similar
disease_51fc1226,feature_df93ecd8,diagnose,different
disease_51fc1226,feature_ef0efeda,diagnose,different
disease_51fc1226,feature_a9508160,diagnose,different
disease_51fc1226,feature_d17e8c8e,diagnose,different
disease_51fc1226,feature_c657aeac,diagnose,different
disease_83b265ef,feature_f55a5091,diagnose,similar
disease_83b265ef,feature_448af348,diagnose,similar
disease_83b265ef,feature_6ffad8f4,diagnose,similar
disease_83b265ef,feature_41c7c41a,diagnose,similar
disease_83b265ef,feature_daaa7cfd,diagnose,different
disease_83b265ef,feature_f20d4441,diagnose,different
disease_83b265ef,feature_363ea1b3,diagnose,different
disease_83b265ef,feature_40b6192d,diagnose,different
disease_83b265ef,feature_ef0efeda,diagnose,different
disease_89ab374a,feature_c114fafe,diagnose,similar
disease_89ab374a,feature_5cb4bf57,diagnose,similar
disease_89ab374a,feature_1c26ebb3,diagnose,similar
disease_89ab374a,feature_04809b65,diagnose,different
disease_89ab374a,feature_5befa29d,diagnose,different
disease_89ab374a,feature_0d8414f7,diagnose,different
disease_89ab374a,feature_2db57dbb,diagnose,different
disease_89ab374a,feature_d0469edd,diagnose,different
disease_6c28d061,feature_860649ff,diagnose,similar
disease_6c28d061,feature_e8f6a2a9,diagnose,similar
disease_6c28d061,feature_fac38c8c,diagnose,similar
disease_6c28d061,feature_68eec437,diagnose,similar
disease_6c28d061,feature_33602ad5,diagnose,different
disease_6c28d061,feature_40b6192d,diagnose,different
disease_6c28d061,feature_8bdc03b0,diagnose,different
disease_6c28d061,feature_a227f2be,diagnose,different
disease_6c28d061,feature_dc295fd6,diagnose,different
disease_6c28d061,feature_5183f14c,diagnose,different
disease_6c28d061,feature_f3f43c9f,diagnose,different
disease_6c28d061,feature_b2f24e0d,diagnose,different
disease_6c28d061,feature_8e9dbe46,diagnose,different
disease_4fdcbb58,feature_41c7c41a,diagnose,similar
disease_4fdcbb58,feature_a8ae2e19,diagnose,similar
disease_4fdcbb58,feature_9712dd76,diagnose,similar
disease_4fdcbb58,feature_d772f7eb,diagnose,different
disease_4fdcbb58,feature_e83027fe,diagnose,different
disease_4fdcbb58,feature_64feda9b,diagnose,different
disease_4fdcbb58,feature_f111f4ae,diagnose,different
disease_4fdcbb58,feature_a196f38b,diagnose,different
disease_4fdcbb58,feature_e2616ff9,diagnose,different
disease_4fdcbb58,feature_87957b57,diagnose,different
disease_309dbcf1,feature_83846ae1,diagnose,similar
disease_309dbcf1,feature_6492ae3a,diagnose,similar
disease_309dbcf1,feature_a8ae2e19,diagnose,similar
disease_309dbcf1,feature_2823af7c,diagnose,similar
disease_309dbcf1,feature_a99f11fe,diagnose,similar
disease_309dbcf1,feature_5ce0106c,diagnose,similar
disease_309dbcf1,feature_283ca59a,diagnose,similar
disease_309dbcf1,feature_a8066c0f,diagnose,different
disease_309dbcf1,feature_a7c538ca,diagnose,different
disease_309dbcf1,feature_a5361de2,diagnose,different
disease_309dbcf1,feature_f8a573f0,diagnose,different
disease_309dbcf1,feature_46e60859,diagnose,different
disease_309dbcf1,feature_d4ab86e6,diagnose,different
disease_3229544c,feature_a2f46a3e,diagnose,similar
disease_3229544c,feature_d38d75c1,diagnose,different
disease_3229544c,feature_f8ca7d7d,diagnose,different
disease_3229544c,feature_dcbdef4b,diagnose,different
disease_3229544c,feature_61ebfd8d,diagnose,different
disease_3229544c,feature_f8f87aaf,diagnose,different
disease_3229544c,feature_552af9fd,diagnose,different
disease_3229544c,feature_ef0efeda,diagnose,different
disease_3229544c,feature_9d00caac,diagnose,different
disease_e97a83e4,feature_8cd93200,diagnose,similar
disease_e97a83e4,feature_2f3a78b5,diagnose,similar
disease_e97a83e4,feature_7372979a,diagnose,different
disease_e97a83e4,feature_d80192d3,diagnose,different
disease_911063ec,feature_4acbb253,diagnose,similar
disease_911063ec,feature_81376128,diagnose,different
disease_911063ec,feature_18c564fb,diagnose,different
disease_911063ec,feature_2c9c5c32,diagnose,different
disease_911063ec,feature_ef0efeda,diagnose,different
disease_911063ec,feature_6b71c760,diagnose,different
disease_911063ec,feature_3fcbfb29,diagnose,different
disease_a4871cf4,feature_7cedc973,diagnose,similar
disease_a4871cf4,feature_9d322956,diagnose,similar
disease_a4871cf4,feature_3ebabec9,diagnose,different
disease_a4871cf4,feature_99ca326a,diagnose,different
disease_a4871cf4,feature_7c4b3959,diagnose,different
disease_a4871cf4,feature_d0f78688,diagnose,different
disease_a4871cf4,feature_71c3de04,diagnose,different
disease_a4871cf4,feature_041987be,diagnose,different
disease_0789897a,feature_94ec60a9,diagnose,similar
disease_0789897a,feature_9c31d9d4,diagnose,different
disease_0789897a,feature_6176c5ba,diagnose,different
disease_0789897a,feature_66922b45,diagnose,different
disease_0789897a,feature_ecf1d54d,diagnose,different
disease_0789897a,feature_5c54becb,diagnose,different
disease_0789897a,feature_3a0509a4,diagnose,different
disease_0789897a,feature_5489d3ab,diagnose,different
disease_0789897a,feature_bcd0ce36,diagnose,different
disease_c2549061,feature_049442d4,diagnose,similar
disease_c2549061,feature_d9dc07dd,diagnose,different
disease_c2549061,feature_daa502dd,diagnose,different
disease_c2549061,feature_18c564fb,diagnose,different
disease_c2549061,feature_1dec72cb,diagnose,different
disease_c2549061,feature_c9270073,diagnose,different
disease_c2549061,feature_e46ddae5,diagnose,different
disease_c2549061,feature_4156945f,diagnose,different
disease_c2549061,feature_38c241eb,diagnose,different
disease_c2549061,feature_5e324c6a,diagnose,different
disease_c2549061,feature_f8ede690,diagnose,different
disease_688dd97a,feature_02d6c9a8,diagnose,similar
disease_688dd97a,feature_d8f7a172,diagnose,similar
disease_688dd97a,feature_c36357f5,diagnose,different
disease_688dd97a,feature_d647ea0b,diagnose,different
disease_688dd97a,feature_43df79dc,diagnose,different
disease_688dd97a,feature_c260dd74,diagnose,different
disease_688dd97a,feature_9c1802cf,diagnose,different
disease_688dd97a,feature_e3faef31,diagnose,different
disease_688dd97a,feature_b81f9ade,diagnose,different
disease_688dd97a,feature_550df2fc,diagnose,different
disease_688dd97a,feature_55f528f7,diagnose,different
disease_688dd97a,feature_20c64dda,diagnose,different
disease_688dd97a,feature_ef0efeda,diagnose,different
disease_688dd97a,feature_d44380fd,diagnose,different
disease_688dd97a,feature_b137cd16,diagnose,different
disease_688dd97a,feature_8f3a76a8,diagnose,different
disease_eaf02a46,feature_2f3a78b5,diagnose,similar
disease_eaf02a46,feature_b8537ac5,diagnose,different
disease_eaf02a46,feature_3e04597c,diagnose,different
disease_eaf02a46,feature_08be4a17,diagnose,different
disease_eaf02a46,feature_2f73912e,diagnose,different
disease_eaf02a46,feature_9a42f74c,diagnose,different
disease_eaf02a46,feature_ef0efeda,diagnose,different
disease_eaf02a46,feature_dfb32d89,diagnose,different
disease_c086c760,feature_02d6c9a8,diagnose,similar
disease_c086c760,feature_4bd3fe50,diagnose,similar
disease_c086c760,feature_6e119171,diagnose,similar
disease_c086c760,feature_0824e29b,diagnose,similar
disease_c086c760,feature_92a33822,diagnose,different
disease_c086c760,feature_ebcf7f34,diagnose,different
disease_c086c760,feature_f0e63279,diagnose,different
disease_c086c760,feature_32cd0192,diagnose,different
disease_c086c760,feature_363fc7f3,diagnose,different
disease_c086c760,feature_da71209e,diagnose,different
disease_c086c760,feature_3f099e00,diagnose,different
disease_3229544c,feature_fb3a9f33,diagnose,similar
disease_3229544c,feature_e03b1aee,diagnose,similar
disease_3229544c,feature_2c5e965a,diagnose,similar
disease_3229544c,feature_e91fb226,diagnose,different
disease_3229544c,feature_8ce4c1c7,diagnose,different
disease_3229544c,feature_ca540681,diagnose,different
disease_3229544c,feature_cd24ff17,diagnose,different
disease_3229544c,feature_c4a5fea7,diagnose,different
disease_3229544c,feature_ff07e050,diagnose,different
disease_3229544c,feature_9bbb7e25,diagnose,different
disease_3229544c,feature_b1a53cfb,diagnose,different
disease_826d4bf9,feature_b423dd07,diagnose,similar
disease_826d4bf9,feature_11e25a61,diagnose,similar
disease_826d4bf9,feature_d38d75c1,diagnose,similar
disease_826d4bf9,feature_2812f16c,diagnose,different
disease_826d4bf9,feature_a5dcd968,diagnose,different
disease_826d4bf9,feature_9c44794b,diagnose,different
disease_826d4bf9,feature_dcf5ab81,diagnose,different
disease_826d4bf9,feature_98b049fe,diagnose,different
disease_826d4bf9,feature_9abd0fb9,diagnose,different
disease_826d4bf9,feature_c16e3c72,diagnose,different
disease_826d4bf9,feature_ca038d43,diagnose,different
disease_826d4bf9,feature_567a8902,diagnose,different
disease_61e60b5a,feature_2d593f9f,diagnose,similar
disease_61e60b5a,feature_c331cb47,diagnose,similar
disease_61e60b5a,feature_775feff9,diagnose,different
disease_61e60b5a,feature_aaca1d51,diagnose,different
disease_61e60b5a,feature_47fec793,diagnose,different
disease_61e60b5a,feature_24ca5466,diagnose,different
disease_61e60b5a,feature_c32932f3,diagnose,different
disease_61e60b5a,feature_12fda569,diagnose,different
disease_61e60b5a,feature_3f95caa4,diagnose,different
disease_a47ff58c,feature_e03b1aee,diagnose,similar
disease_a47ff58c,feature_11e25a61,diagnose,similar
disease_a47ff58c,feature_d38d75c1,diagnose,similar
disease_a47ff58c,feature_fd5861b2,diagnose,similar
disease_a47ff58c,feature_1b1028d6,diagnose,different
disease_a47ff58c,feature_6adac012,diagnose,different
disease_a47ff58c,feature_95cbbb58,diagnose,different
disease_a47ff58c,feature_fdb00da1,diagnose,different
disease_a47ff58c,feature_27b41405,diagnose,different
disease_a47ff58c,feature_4fdfae75,diagnose,different
disease_a47ff58c,feature_54b2dddb,diagnose,different
disease_a47ff58c,feature_ae1e7d65,diagnose,different
disease_a47ff58c,feature_a4e74084,diagnose,different
disease_3fc2dce6,feature_e03b1aee,diagnose,similar
disease_3fc2dce6,feature_11e25a61,diagnose,similar
disease_3fc2dce6,feature_d38d75c1,diagnose,similar
disease_3fc2dce6,feature_fd5861b2,diagnose,similar
disease_3fc2dce6,feature_6d0eb3a9,diagnose,different
disease_3fc2dce6,feature_14ad3a9c,diagnose,different
disease_3fc2dce6,feature_4a48e157,diagnose,different
disease_3fc2dce6,feature_c54e4d2a,diagnose,different
disease_3fc2dce6,feature_95cbbb58,diagnose,different
disease_3fc2dce6,feature_a5e1a9ba,diagnose,different
disease_3fc2dce6,feature_f0e20780,diagnose,different
disease_3fc2dce6,feature_987d7cd2,diagnose,different
disease_a53f91d8,feature_d38d75c1,diagnose,similar
disease_a53f91d8,feature_f14b8409,diagnose,similar
disease_a53f91d8,feature_306197ed,diagnose,different
disease_a53f91d8,feature_5eaf5abb,diagnose,different
disease_a53f91d8,feature_fa420ede,diagnose,different
disease_a53f91d8,feature_6a30350d,diagnose,different
disease_a53f91d8,feature_1335b092,diagnose,different
disease_a53f91d8,feature_fcd0370a,diagnose,different
disease_a53f91d8,feature_f867f4b2,diagnose,different
disease_7b86ef24,feature_e03b1aee,diagnose,similar
disease_7b86ef24,feature_54b97f53,diagnose,similar
disease_7b86ef24,feature_fd5861b2,diagnose,similar
disease_7b86ef24,feature_d38d75c1,diagnose,different
disease_7b86ef24,feature_646e78ab,diagnose,different
disease_7b86ef24,feature_dbfbd074,diagnose,different
disease_7b86ef24,feature_740c8ea7,diagnose,different
disease_7b86ef24,feature_24da5bc9,diagnose,different
disease_7b86ef24,feature_0a9c6973,diagnose,different
disease_688dd97a,feature_2a7b7fb6,diagnose,similar
disease_688dd97a,feature_c83ef8cf,diagnose,similar
disease_688dd97a,feature_ab869f94,diagnose,different
disease_688dd97a,feature_bcb94099,diagnose,different
disease_688dd97a,feature_4f4c87d3,diagnose,different
disease_688dd97a,feature_7d7ec50e,diagnose,different
disease_bd236339,feature_ba52cfc7,diagnose,similar
disease_bd236339,feature_2ac7a66c,diagnose,similar
disease_bd236339,feature_70a8ab41,diagnose,similar
disease_bd236339,feature_3c559558,diagnose,different
disease_bd236339,feature_d38d75c1,diagnose,different
disease_bd236339,feature_4d707176,diagnose,different
disease_bd236339,feature_4f4c87d3,diagnose,different
disease_bd236339,feature_e0c7ab51,diagnose,different
disease_8520126e,feature_b0956a56,diagnose,similar
disease_8520126e,feature_5759aad5,diagnose,similar
disease_8520126e,feature_daa276c0,diagnose,different
disease_8520126e,feature_2140d726,diagnose,different
disease_8520126e,feature_5f0ba861,diagnose,different
disease_8520126e,feature_a1b26eb3,diagnose,different
disease_8520126e,feature_d9c7d2a8,diagnose,different
disease_8520126e,feature_4ce075ab,diagnose,different
disease_8520126e,feature_60b8e2bb,diagnose,different
disease_8e3ce25b,feature_ce6274ce,diagnose,similar
disease_8e3ce25b,feature_5b417f48,diagnose,similar
disease_8e3ce25b,feature_ea5ef38b,diagnose,different
disease_8e3ce25b,feature_8d88cfe3,diagnose,different
disease_8e3ce25b,feature_9a7e25ba,diagnose,different
disease_8e3ce25b,feature_4fac697f,diagnose,different
disease_8e3ce25b,feature_b0e66b77,diagnose,different
disease_8e3ce25b,feature_d2f80fb7,diagnose,different
disease_f9aeffba,feature_ce6274ce,diagnose,similar
disease_f9aeffba,feature_cefddd19,diagnose,similar
disease_f9aeffba,feature_26362c79,diagnose,different
disease_f9aeffba,feature_18c29f98,diagnose,different
disease_f9aeffba,feature_4fa3d8e1,diagnose,different
disease_f9aeffba,feature_8874d80c,diagnose,different
disease_f9aeffba,feature_51338f5a,diagnose,different
disease_73e21b75,feature_ce6274ce,diagnose,similar
disease_73e21b75,feature_726f12eb,diagnose,similar
disease_73e21b75,feature_8aae4fb7,diagnose,similar
disease_73e21b75,feature_a1679b30,diagnose,different
disease_73e21b75,feature_23d757df,diagnose,different
disease_73e21b75,feature_a2d2f4bd,diagnose,different
disease_73e21b75,feature_e17174cb,diagnose,different
disease_a07fb102,feature_ce6274ce,diagnose,similar
disease_a07fb102,feature_51368bb3,diagnose,similar
disease_a07fb102,feature_824e177b,diagnose,similar
disease_a07fb102,feature_13b90403,diagnose,similar
disease_a07fb102,feature_3535efd6,diagnose,different
disease_a07fb102,feature_568ccc6a,diagnose,different
disease_a07fb102,feature_e82cf2ec,diagnose,different
disease_0789897a,feature_ce6274ce,diagnose,similar
disease_0789897a,feature_8d97db0e,diagnose,similar
disease_0789897a,feature_a358038e,diagnose,similar
disease_0789897a,feature_38de712d,diagnose,similar
disease_0789897a,feature_813e57b6,diagnose,different
disease_0789897a,feature_8dd0f9c9,diagnose,different
disease_0789897a,feature_dd9024f9,diagnose,different
disease_0789897a,feature_905dc7d5,diagnose,different
disease_39453c92,feature_ce6274ce,diagnose,similar
disease_39453c92,feature_a2081838,diagnose,similar
disease_39453c92,feature_ce38598a,diagnose,different
disease_39453c92,feature_6c87c82c,diagnose,different
disease_39453c92,feature_f1b399af,diagnose,different
disease_4e83aebc,feature_ce6274ce,diagnose,similar
disease_4e83aebc,feature_bb6bc282,diagnose,similar
disease_4e83aebc,feature_6d1399a6,diagnose,similar
disease_4e83aebc,feature_2990d3ce,diagnose,similar
disease_4e83aebc,feature_8f366c29,diagnose,different
disease_4e83aebc,feature_5b2f15df,diagnose,different
disease_4e83aebc,feature_76ad51b4,diagnose,different
disease_4e83aebc,feature_a752486d,diagnose,different
disease_4e83aebc,feature_17f0155b,diagnose,different
disease_4e83aebc,feature_ff602666,diagnose,different
disease_4e83aebc,feature_208dc4d3,diagnose,different
disease_4e83aebc,feature_93f12988,diagnose,different
disease_911063ec,feature_6a4877b4,diagnose,similar
disease_911063ec,feature_1d4014bf,diagnose,similar
disease_911063ec,feature_21826225,diagnose,similar
disease_911063ec,feature_fb18b87c,diagnose,different
disease_911063ec,feature_18c564fb,diagnose,different
disease_911063ec,feature_2c9c5c32,diagnose,different
disease_911063ec,feature_ef0efeda,diagnose,different
disease_911063ec,feature_3e3cc224,diagnose,different
