病名,相似点,区别点
VE和硒缺乏症（脑软化症）,头颈弯曲有时出现角弓反张，两腿痉挛抽搐，行走不稳或瘫痪,脑充血、水肿、有散在出血点，以小脑尤为明显;大脑后半球有液化灶，脑实质严重软化，呈粥样；肌肉苍白，多见于雏鸡
VB1缺乏症,抽搐，共济失调，呈角弓反张症状,"呈特征性的""观星""症状,剖检可见胃、肠道萎缩，右心扩张,松弛;雏鸡多为突然发生，成年鸡发病慢"
VB6缺乏症,"雏鸡异常兴奋，盲目奔跑,共济失调或腿软，翅下垂，以胸着地，痉挛","长骨短粗,眼睑水肿;肌胃糜烂,产蛋鸡输卵管、卵巢、肉垂退化"
,,
鸡新城疫, 排绿色稀便,"呼吸困难，有呼噜声;有甩头、扭颈轻微瘫痪等神经症状,喉头气管内有大量粘液,消化道粘膜肿胀,出血、溃疡"
大肠杆菌病,急性败血型可见排白色或黄绿色稀便,可表现多种类型的病症，急性败血型主要表现为：三包炎（心包炎、肝周炎、腹膜炎）
鸡传染性法氏囊病,白色水样下痢,3-6周龄多发，死亡率高;法氏囊肿胀、出血、肌肉於血，花斑肾.
坏死性肠炎,黑褐色、带血色稀粪,小肠中后段肠壁出血，斑点呈不规则型;肠壁坏死，有土黄色坏死灶，有时有灰黄色厚层假膜;肝脏可见2-3MM圆形坏死灶
鸡组织滴虫病,带血稀便,病鸡头部黑紫色;盲肠有出血坏死性肠炎，肠内容物凝固，切面呈层状，中心为血凝块;肝脏色黄中心凹陷，周围隆起，呈黄绿色碟状坏死灶
鸡球虫病,排血便,"3周龄以下雏鸡多发,为急性经过，死亡率高,盲肠或小肠出现出血性、坏死性炎症;胃肠壁有白色或红山（暗红）针尖状小点。羽毛蓬松，爱扒料"
鸡白痢,白色或石膏样稀便,"急性型多见于2周龄左右的雏鸡，脐带红肿,卵黄吸收不全;慢性可见肝、脾、肺、心有灰白色坏死点，有时一侧盲肠内容物凝固,肠壁增厚,成鸡和青年鸡多呈隐性感染，卵泡萎缩、出血、变形,有时脱落、破裂引起腹膜炎"
鸡伤寒,黄绿色稀便,"多见于育成鸡;肝、脾和肾脏肿大为正常2-4倍，肝脾呈青铜色，有黄白色坏死点;卵泡充血，出血,有的破裂。"
溃疡性肠炎,白色、黄绿色、淡红色水样带粘液和气泡样下痢,"小肠和盲肠有大量圆形溃疡灶，中心凹陷,有时发生穿孔;肝脏黄色或灰色圆形小病灶或大片不规则坏死区。"
,,
鸡新城疫,伸颈呼吸，咳嗽，甩头,"呼噜、斜颈歪头、脚、翼麻痹、产蛋下降;剖检仅见喉头、气管有粘液,气管粘膜增厚环状出血,肺,脑有出血点。"
鸡传染性鼻炎,甩鼻，打喷嚏，呼吸困难,"发病率高，死亡率低,鼻塞症状明显,主要表现流鼻液、流泪;剖检鼻腔、鼻窦粘膜红肿或黄色干酪样物质,脸肿但软。"
鸡败血霉形体病,喷嚏，呼吸啰音,"呼吸有罗音，眼角流泡沫样液体;气囊增厚，浑浊,有泡沫样或干酪样物质偶尔脸肿大，较硬"
鸡传染性支气管,咳嗽，打喷嚏，呼吸困难，怪叫,"传播快、呼吸时发出异常声音，喉头、支气管粘液增多，气管由上自下粘液明显增多,时常会在支气管的三叉口出现栓塞。部分病鸡前期的时候在肺部和气管的交接出会有白色的黏液状物质，中后期就会变成硬块堵死气管。"
鸡传染性喉气管,咳嗽，打喷嚏，呼吸困难，怪叫,发病迅速、张口伸颈、死亡快，咳出带血的粘液;喉头、气管出血，有大量黏液和血凝块。
鸡痘（喉痘型）,呼吸困难，张口呼吸。,呼吸及吞咽困难，窒息死亡;口腔及咽喉部粘膜出现痘疹和假膜;混合其他病型，还可见少毛或无毛的皮肤处出现痘
禽流感,咳嗽，呼吸时有啰音，怪叫,"呼吸困难、气管有环状出血及分泌物,病禽发烧,产蛋率下降幅度较大,软壳蛋多，有时见输卵管炎。"
,,
鸡白痢,肺有大小不等，黄白色坏死结节,多发于2周龄以内的雏鸡;拉白色糊状粪，心脏和肝脏也有坏死结节
鸡败血性霉形体病,气囊混浊，增厚，囊腔内有黄色干酪物,多发于4-8周以内的幼鸡；呼吸困难，眶下窦肿胀；心脏和肝脏无病变
鸡曲霉菌病,肺和气囊上有黄灰色，大小不等的坏死结节,"多发生雏鸡;病鸡呼吸困难,胸壁上也有坏死结节,柔软而富有弹性，内容物呈干酪样;可见霉菌斑，镜检可见霉菌菌丝及孢子。"
,,
鸡霍乱,肝肿大、表面布满黄白色针尖大坏死点,成年鸡易发，常突然发病，死亡多为壮鸡，心冠脂肪和心外膜有大量出血点，十二指肠严重出血
鸡沙门氏杆菌,肝肿大、表面布满灰白色针尖大坏死点,多发生于雏鸡和青年鸡;雏鸡拉白色的糊状粪;心，肺上也有坏死灶;青年鸡的肝有时呈铜绿色
鸡大肠杆菌,肝肿大、表面有一层灰白色薄膜，即肝周炎,各个阶段的鸡都易发，有纤维素性心包炎，肝周炎，腹膜炎
鸡弯曲菌肝炎,肝肿大、表面和实质内有黄色、星芒状的小坏死灶,多发生于青年鸡或新开产的母鸡;肝脏被膜下有出血区形成水肿。
鸡组织滴虫病,肝肿大，表面有圆形或不规则形状中心凹陷，周边隆起的溃疡灶,"多发生于8周龄至四月龄的鸡; 一侧盲肠肿大,内有香肠状的干酪样凝固栓子,切开呈同心圆状"
鸡马立克氏病（内脏型）,肝肿大，表面有灰白色肿瘤结节,多发于6-18周龄的鸡;心，肺，脾，肾等器官也有肿瘤结节，但法氏囊常萎缩。
鸡脂肪肝出血综合症,肝肿大、呈黄色，质地松软，表面有小出血点,多发于成年鸡，鸡冠，肉髯和肌肉苍白贫血，肝脏出血腹腔内有血凝块或血水，腹腔和肠系粘膜有大量脂肪沉积
,,
鸡传染性法氏囊病,排白色水样粪便肾肿，有白色尿酸盐沉积，呈花斑状,3-6周龄雏鸡多发，死亡率高，法氏囊肿胀，出血或内有果酱样物，胸部及腿部肌肉出血。
鸡传染性支气管炎（肾型）,排白色水样稀便。肾脏肿大，颜色变淡，有大量尿酸盐沉积,多见于3-10周龄鸡，两侧肾脏肿胀严重，有尿酸盐沉着，质地坚硬;死亡率高;成年鸡产蛋量下降，蛋壳粗糙，产畸形蛋，病鸡康复后产蛋量难以恢复到原有水平。
痛风,排白色石灰样稀粪，肾肿，有大量尿酸盐沉积,肾脏颜色变黄，有大量尿酸盐趁着，通常一侧萎缩，另一侧明显肿胀，输尿管增粗，有大量白色尿酸盐，有时可见结石;心外膜，心包腔肝被膜均见有大量尿酸盐覆盖。
鸡病毒性肾炎,肾不肿或稍肿，颜色变淡，呈淡黄色，排白色稀粪。,1日龄鸡最易感染，成年鸡呈隐性感染，不出现肾炎病变;内脏可见尿酸盐沉积，特征性症状是生长发育停滞，产蛋量下降，而蛋品质没有变化。
