头实体,关系,尾实体,数据来源
大肠杆菌病,病理变化,肝周炎,《禽病彩色图谱》
大肠杆菌病,治疗方案,恩诺沙星(5-10mg/L饮水),《禽病类症鉴别诊疗彩色图谱》
鸭病毒性肝炎,预防方案,母鸭产前免疫,《家禽传染病思维导图》
鸭病毒性肝炎,高发阶段,1-3周龄雏鸭,《水禽疾病防治》
鸭病毒性肝炎,病理变化,肝脏出血斑点,《水禽疾病防治》
小鹅瘟,病理变化,腊肠样肠栓塞,《禽病诊治彩色图谱》
小鹅瘟,预防方案,小鹅瘟高免血清,《水禽疾病防治》
小鹅瘟,高发阶段,4-20日龄,《水禽疾病防治》
禽霍乱,治疗方案,磺胺二甲嘧啶(0.1%-0.2%拌料),《禽病类症鉴别诊疗彩色图谱》
禽霍乱,治疗方案,氟苯尼考(20%溶液0.5ml/L水),《禽病类症鉴别诊疗彩色图谱》
禽霍乱,诊断依据,肝脏针尖状坏死点,《常见鸡病彩色图谱》
禽霍乱,预防方案,禽霍乱蜂胶灭活苗,《免疫程序指南》
鸡白痢,病理变化,心脏白色结节,《禽病彩色图谱》
鸡白痢,高发阶段,1-2周龄雏鸡,《禽病学》
鸡白痢,诊断方法,全血平板凝集试验,《家禽传染病诊断技术》
球虫病,分型,盲肠球虫,《禽病学》
球虫病,分型,小肠球虫,《禽病学》
球虫病,症状,血便,《禽病类症鉴别诊疗彩色图谱》
球虫病,预防措施,保持垫料干燥,《家禽养殖管理规范》
球虫病,治疗方案,磺胺氯吡嗪钠(0.03%饮水),《禽病类症鉴别诊疗彩色图谱》
马立克氏病,症状,劈叉姿势,《禽病诊治彩色图谱》
马立克氏病,病理变化,坐骨神经肿粗,《禽病彩色图谱》
马立克氏病,预防方案,1日龄马立克疫苗,《免疫程序指南》
禽脑脊髓炎,症状,头颈震颤,《禽病诊治彩色图谱》
禽脑脊髓炎,高发阶段,1-3周龄雏鸡,《禽病学》
传染性鼻炎,症状,面部肿胀,《禽病诊治彩色图谱》
传染性鼻炎,治疗方案,磺胺二甲氧嘧啶+泰乐菌素,《家禽科学》2025
鸭瘟,症状,流泪眼肿,《水禽常见病防治手册》
鸭瘟,病理变化,食道伪膜溃疡,《水禽常见病防治手册》
坏死性肠炎,继发于,球虫感染,《禽病学》
坏死性肠炎,病理变化,小肠充气出血,《禽病彩色图谱》
组织滴虫病,别称,盲肠肝炎,《禽病学》
组织滴虫病,病理变化,盲肠同心圆坏死,《禽病彩色图谱》
鸡痘,分型,皮肤型,《禽病学》
鸡痘,分型,黏膜型,《禽病学》
鸡痘,预防方案,鸡痘鹌鹑化弱毒疫苗,《免疫程序指南》
传染性腺胃炎,诊断依据,腺胃肿大如球,《禽病诊治彩色图谱》
传染性腺胃炎,继发于,霉菌毒素中毒,智慧蛋鸡行业报告
鸭传染性浆膜炎,病原类型,鸭疫里默氏杆菌,《水禽疾病防治》
鸭传染性浆膜炎,治疗方案,氟苯尼考+头孢噻呋,《水禽疾病防治》
鹅副粘病毒病,需鉴别,新城疫,《水禽疾病防治》
鹅副粘病毒病,病理变化,脾脏白色坏死点,《水禽疾病防治》
番鸭细小病毒病,别称,三周病,《水禽疾病防治》
番鸭细小病毒病,高发阶段,3-20日龄,《水禽疾病防治》
鸡蛔虫病,症状,生长迟缓,《家禽寄生虫病防治》
鸡蛔虫病,治疗方案,左旋咪唑(25mg/kg体重),《家禽寄生虫病防治》
鸡绦虫病,诊断依据,粪便中白色节片,《家禽寄生虫病防治》
鸡住白细胞原虫病,传播媒介,库蠓,《家禽寄生虫病防治》
鸡住白细胞原虫病,症状,冠髯苍白,《家禽寄生虫病防治》
维生素缺乏症,类型,维生素E缺乏,《家禽营养代谢病》
维生素缺乏症,症状,脑软化症,《家禽营养代谢病》
痛风,病理变化,内脏尿酸盐沉积,《家禽营养代谢病》
痛风,病因,高蛋白饲料,《家禽营养代谢病》
肉鸡腹水综合征,病因,通风不良,《家禽营养代谢病》
肉鸡腹水综合征,病理变化,腹腔积液,《家禽营养代谢病》
脂肪肝综合征,高发阶段,高产蛋鸡,《家禽营养代谢病》
脂肪肝综合征,预防措施,控制能量摄入,《家禽营养代谢病》
食盐中毒,症状,极度口渴,《家禽中毒病防治》
食盐中毒,预防措施,控制饲料盐分<0.3%,《家禽中毒病防治》
黄曲霉毒素中毒,病理变化,肝脏硬化,《家禽中毒病防治》
黄曲霉毒素中毒,预防措施,防止饲料霉变,《家禽中毒病防治》
一氧化碳中毒,病因,育雏舍通风不良,《家禽中毒病防治》
一氧化碳中毒,症状,呼吸困难,《家禽中毒病防治》
热应激,预防措施,增加通风降温,《家禽环境管理》
热应激,症状,张口呼吸,《家禽环境管理》
冷应激,预防措施,提高育雏温度,《家禽环境管理》
冷应激,继发,大肠杆菌病,《家禽环境管理》
新城疫,实验室诊断,HA/HI试验,《家禽传染病诊断技术》
禽流感,实验室诊断,PCR检测,《家禽传染病诊断技术》
传染性法氏囊病,实验室诊断,琼脂扩散试验,《家禽传染病诊断技术》
大肠杆菌病,实验室诊断,细菌分离培养,《家禽传染病诊断技术》
沙门氏菌病,类型,鸡白痢,《禽病学》
沙门氏菌病,类型,禽伤寒,《禽病学》
沙门氏菌病,垂直传播,是,《禽病学》
葡萄球菌病,症状,关节炎,《禽病诊治彩色图谱》
葡萄球菌病,病因,创伤感染,《禽病学》
禽霍乱,病原类型,多杀性巴氏杆菌,《禽病学》
传染性支气管炎,病原类型,冠状病毒,《禽病学》
传染性喉气管炎,病原类型,疱疹病毒,《禽病学》
马立克氏病,病原类型,疱疹病毒,《禽病学》
禽白血病,病理变化,肝脏肿瘤结节,《禽病彩色图谱》
禽白血病,垂直传播,是,《禽病学》
网状内皮组织增殖病,需鉴别,禽白血病,《禽病学》
传染性腺胃炎,治疗方案,青霉素+西咪替丁,《家禽科学》2025
坏死性肠炎,治疗方案,林可霉素(0.02%拌料),《家禽科学》2025
球虫病,预防方案,地克珠利(1ppm拌料),《家禽寄生虫病防治》
组织滴虫病,治疗方案,甲硝唑(0.05%饮水),《家禽寄生虫病防治》
鸡痘,传播媒介,蚊子,《禽病学》
传染性鼻炎,病原类型,副鸡嗜血杆菌,《禽病学》
鸭瘟,病原类型,鸭瘟病毒,《水禽疾病防治》
小鹅瘟,病原类型,小鹅瘟病毒,《水禽疾病防治》
鸭病毒性肝炎,病原类型,鸭肝炎病毒,《水禽疾病防治》
鹅副粘病毒病,病原类型,副粘病毒,《水禽疾病防治》
番鸭细小病毒病,病原类型,细小病毒,《水禽疾病防治》
传染性法氏囊病,免疫抑制,是,《禽病学》
马立克氏病,免疫抑制,是,《禽病学》
禽白血病,免疫抑制,是,《禽病学》
鸡包涵体肝炎,免疫抑制,是,《家禽科学》2025
禽霍乱,高发季节,夏秋交替,《禽病学》
传染性支气管炎,高发季节,冬春季节,《禽病学》
新城疫,高发季节,四季皆发,《禽病学》
禽流感,高发季节,冬春季节,《禽病学》
球虫病,高发季节,高温高湿季节,《家禽寄生虫病防治》
传染性喉气管炎,传播方式,空气传播,《禽病学》
传染性支气管炎,传播方式,空气传播,《禽病学》
新城疫,传播方式,空气传播,《禽病学》
禽霍乱,传播方式,消化道传播,《禽病学》
沙门氏菌病,传播方式,垂直传播+消化道,《禽病学》
大肠杆菌病,传播方式,呼吸道+消化道,《禽病学》
传染性法氏囊病,传播方式,接触传播,《禽病学》
马立克氏病,传播方式,空气传播,《禽病学》
禽白血病,传播方式,垂直传播,《禽病学》
鸡白痢,传播方式,垂直传播,《禽病学》
小鹅瘟,传播方式,垂直传播,《水禽疾病防治》
鸭病毒性肝炎,传播方式,消化道传播,《水禽疾病防治》
鸭瘟,传播方式,接触传播,《水禽疾病防治》
鹅副粘病毒病,传播方式,空气传播,《水禽疾病防治》
番鸭细小病毒病,传播方式,消化道传播,《水禽疾病防治》
滑液囊支原体,传播方式,垂直传播+接触,《禽病学》
传染性鼻炎,传播方式,空气传播,《禽病学》
鸡痘,传播方式,接触传播,《禽病学》
组织滴虫病,传播方式,蚯蚓携带,《家禽寄生虫病防治》
球虫病,传播方式,粪便污染,《家禽寄生虫病防治》
新城疫,死亡率,90-100%,《禽病学》
禽流感H5N1,死亡率,80-100%,《禽病学》
传染性法氏囊病,死亡率,30-50%,《禽病学》
传染性支气管炎,死亡率,雏鸡30%,《禽病学》
禽霍乱,死亡率,50-80%,《禽病学》
小鹅瘟,死亡率,70-100%,《水禽疾病防治》
鸭病毒性肝炎,死亡率,80-95%,《水禽疾病防治》
鸭瘟,死亡率,80-90%,《水禽疾病防治》
鸡白痢,死亡率,雏鸡20-70%,《禽病学》
球虫病,死亡率,20-50%,《家禽寄生虫病防治》
传染性喉气管炎,死亡率,10-70%,《禽病学》
马立克氏病,死亡率,10-80%,《禽病学》
禽白血病,死亡率,2-20%,《禽病学》
传染性腺胃炎,死亡率,5-20%,《家禽科学》2025
坏死性肠炎,死亡率,5-30%,《家禽科学》2025
滑液囊支原体,死亡率,1-10%,《2025年禽病报告》
传染性鼻炎,死亡率,1-5%,《禽病学》
鸡痘,死亡率,皮肤型低,黏膜型高,《禽病学》
组织滴虫病,死亡率,30-70%,《家禽寄生虫病防治》
维生素缺乏症,死亡率,不定,《家禽营养代谢病》
痛风,死亡率,10-40%,《家禽营养代谢病》
肉鸡腹水综合征,死亡率,5-20%,《家禽营养代谢病》
脂肪肝综合征,死亡率,5-15%,《家禽营养代谢病》
食盐中毒,死亡率,80-100%,《家禽中毒病防治》
黄曲霉毒素中毒,死亡率,10-50%,《家禽中毒病防治》
一氧化碳中毒,死亡率,80-100%,《家禽中毒病防治》
热应激,死亡率,10-50%,《家禽环境管理》
新城疫,潜伏期,3-6天,《禽病学》
禽流感,潜伏期,几小时至3天,《禽病学》
传染性法氏囊病,潜伏期,2-3天,《禽病学》
传染性支气管炎,潜伏期,18-36小时,《禽病学》
传染性喉气管炎,潜伏期,6-12天,《禽病学》
禽霍乱,潜伏期,2-9天,《禽病学》
马立克氏病,潜伏期,3-4周,《禽病学》
禽白血病,潜伏期,14-30周,《禽病学》
鸡白痢,潜伏期,4-5天,《禽病学》
球虫病,潜伏期,4-7天,《家禽寄生虫病防治》
鸭病毒性肝炎,潜伏期,1-4天,《水禽疾病防治》
小鹅瘟,潜伏期,3-5天,《水禽疾病防治》
鸭瘟,潜伏期,3-7天,《水禽疾病防治》
传染性鼻炎,潜伏期,1-3天,《禽病学》
鸡痘,潜伏期,4-10天,《禽病学》
滑液囊支原体,潜伏期,10-20天,《禽病学》
传染性腺胃炎,潜伏期,7-14天,《家禽科学》2025
坏死性肠炎,潜伏期,1-3天,《禽病学》
组织滴虫病,潜伏期,7-12天,《家禽寄生虫病防治》
新城疫,感染对象,鸡,《禽病学》
禽流感,感染对象,鸡鸭鹅,《禽病学》
传染性法氏囊病,感染对象,鸡,《禽病学》
传染性支气管炎,感染对象,鸡,《禽病学》
传染性喉气管炎,感染对象,鸡,《禽病学》
禽霍乱,感染对象,鸡鸭鹅,《禽病学》
马立克氏病,感染对象,鸡,《禽病学》
禽白血病,感染对象,鸡,《禽病学》
鸡白痢,感染对象,鸡,《禽病学》
球虫病,感染对象,鸡,《家禽寄生虫病防治》
鸭病毒性肝炎,感染对象,鸭,《水禽疾病防治》
小鹅瘟,感染对象,鹅,《水禽疾病防治》
鸭瘟,感染对象,鸭,《水禽疾病防治》
传染性鼻炎,感染对象,鸡,《禽病学》
鸡痘,感染对象,鸡,《禽病学》
滑液囊支原体,感染对象,鸡,《禽病学》
传染性腺胃炎,感染对象,鸡,《家禽科学》2025
坏死性肠炎,感染对象,鸡,《禽病学》
组织滴虫病,感染对象,鸡火鸡,《家禽寄生虫病防治》
鹅副粘病毒病,感染对象,鹅,《水禽疾病防治》
番鸭细小病毒病,感染对象,番鸭,《水禽疾病防治》
鸭传染性浆膜炎,感染对象,鸭,《水禽疾病防治》
禽脑脊髓炎,感染对象,鸡,《禽病学》
维生素缺乏症,感染对象,所有家禽,《家禽营养代谢病》
痛风,感染对象,所有家禽,《家禽营养代谢病》
肉鸡腹水综合征,感染对象,肉鸡,《家禽营养代谢病》
脂肪肝综合征,感染对象,蛋鸡,《家禽营养代谢病》
食盐中毒,感染对象,所有家禽,《家禽中毒病防治》
黄曲霉毒素中毒,感染对象,所有家禽,《家禽中毒病防治》
一氧化碳中毒,感染对象,所有家禽,《家禽中毒病防治》
热应激,感染对象,所有家禽,《家禽环境管理》
冷应激,感染对象,所有家禽,《家禽环境管理》
新城疫,疫苗类型,活苗+灭活苗,《免疫程序指南》
传染性法氏囊病,疫苗类型,弱毒苗,《免疫程序指南》
传染性支气管炎,疫苗类型,弱毒苗,《免疫程序指南》
传染性喉气管炎,疫苗类型,弱毒苗,《免疫程序指南》
马立克氏病,疫苗类型,火鸡疱疹病毒苗,《免疫程序指南》
禽流感,疫苗类型,灭活苗,《免疫程序指南》
禽霍乱,疫苗类型,灭活苗,《免疫程序指南》
鸡痘,疫苗类型,弱毒苗,《免疫程序指南》
传染性鼻炎,疫苗类型,灭活苗,《免疫程序指南》
鸭病毒性肝炎,疫苗类型,弱毒苗,《水禽疾病防治》
小鹅瘟,疫苗类型,弱毒苗,《水禽疾病防治》
鸭瘟,疫苗类型,弱毒苗,《水禽疾病防治》
鹅副粘病毒病,疫苗类型,灭活苗,《水禽疾病防治》
番鸭细小病毒病,疫苗类型,弱毒苗,《水禽疾病防治》
鸭传染性浆膜炎,疫苗类型,灭活苗,《水禽疾病防治》
