question	answer
在孵化过程中,怎样掌握孵化湿度？	湿度也是孵化的一个重要条件。虽然家禽胚胎对湿度的适应范围较广,要求不像对温度那么严格,但孵化器和孵化室内必须维持一定的湿度,才能保证胚胎的正常发育。如果湿度过大,会阻止蛋内水分的正常蒸发,影响胚胎的发育,孵出的雏鸡肚子大,没精神,也不易成活。若湿度不够,蛋内水分蒸发过多,胚胎和胎膜容易粘在一起,影响新陈代谢的正常进行和胚胎的正常发育,并影响出雏,雏禽体小而干瘦,毛短,毛稍发焦,难以饲养。因此,在孵化过程中。根据胚胎发育阶段施加不同的湿度,总的原则是"两头高,中间低"。孵化初期(鸡在孵化 $1\sim 6$ 天),胚胎形成羊水和尿囊液,需要较高的温度;同时湿度也要偏高,相对湿度宜维持在 $65\% \sim 70\%$ ;中期(鸡在孵化 $7\sim 19$ 天),为便于羊水和尿囊液的排除,相对湿度应降至 $50\% \sim 55\%$ ;后期(鸡在孵化 $20\sim 21$ 天),为便于雏禽出壳,防止绒毛粘在蛋壳上出雏困难,湿度应增加到 $65\% \sim 70\%$ 为宜。 湿度大小,可通过增减水盘和水温来调节。孵化室的空气湿度也会影响到孵化器内的湿度,孵化室内相对湿度应保持在 $60\%$ 左右。湿度不够时,在地面洒水,冬天洒温水,夏天洒凉水;湿度过高时,加强室内通风,使水分散发。
在孵化过程中,怎样进行通风换气？	通风换气的目的是排出孵化器内的污浊气体,换进新鲜空气,有利于胚胎的气体代谢,促进其正常发育。如果通风不良,孵化器内的二氧化碳含量达到 $1\%$ 时,则会造成胚胎发育迟缓、胎位不正或畸形,或引起胚胎中途死亡。 通风量大小要根据胚胎发育阶段而定,孵化初期,胚胎需要氧气不多,此时孵化机通风孔打开一点即可,一般孵化的头几天,每天换气两次,每次3小时。孵化中后期,胚胎代谢旺盛,需要氧气和排出二氧化碳增多,通气量应加大。一般是孵化7天后,或者连续孵化,孵化机内有各期胚胎,应打开进、出气孔,持续进行通风换气。尤其当机内的种蛋胚胎即将破壳出雏的状况下,更应持续换气,否则易闷死雏禽。此外,孵化室内也要注意通风。 采用其他孵化方式,胚胎直接暴露于室内空气之中,应注意孵化室内的通风换气,保持室内空气新鲜。
在孵化过程中为什么要翻蛋?怎样翻蛋？	翻蛋的目的在于变换胚胎的位置,使胚胎受热均匀,防止胚胎与蛋壳粘连,促进胚胎活动,提高胚胎生命力。通过翻蛋还可以增加卵黄囊血管、尿囊血管与蛋黄、蛋白的接触面积,有助于胚胎营养的吸收。 翻蛋次数与温差有关,当机内温差在 $0.28^{\circ}\mathrm{C}$ 之内时,每昼夜翻蛋 $4 \sim 6$ 次即可;如果温差在 $\pm 0.55^{\circ}\mathrm{C}$ ( $1^{\circ}\mathrm{F}$ )时,翻蛋次数要增加到每2小时一次。有自动翻蛋装置的孵化机每 $1 \sim 2$ 小时翻蛋一次为好。翻蛋角度要大,一般不小于 $90^{\circ}$ 。如果用火炕、平箱、摊床、电褥子等孵化方法,根据蛋温确定翻蛋次数,一般每4小时翻蛋一次,如刚入孵后 $1 \sim 2$ 天内,蛋温偏高,可每2小时翻蛋一次。 翻蛋方法: 民间土法孵化, 就是将上层蛋翻到下层, 下层蛋翻到上层; 边缘蛋翻到中央, 中央蛋翻到边缘。翻蛋时, 孵化室温度要提高到 $27 \sim 30^{\circ} \mathrm{C}$ , 电孵机孵化的, 翻蛋只转换蛋盘的角度即可。
在孵化过程中为什么要照蛋? 怎样照蛋？	照蛋又称验蛋, 即用照蛋器的灯光透视胚胎的发育情况和蛋的内部品质。种蛋入孵后, 在整个孵化过程中, 一般照蛋 3 次, 也可 2 次。 第一次为头照: 在禽蛋入孵后第 $5 \sim 7$ 天进行, 主要目的是观察种蛋受精情况, 检出无精蛋、死胚蛋、破壳蛋等。发育正常的胚胎, 血管粗大, 分枝多, 颜色鲜红, 蛋黄下沉, 胚胎眼点明显; 发育弱的胚胎 (弱精蛋), 血管纤细, 色淡, 血管网扩散面小, 但可清楚地看到胚胎; 无精蛋, 俗称 "白蛋", 整个蛋光亮、透明, 什么也看不见, 只能看到蛋黄的影子; 死胚蛋, 呈现不规则的血圈或血线, 胚胎很小, 有时呈现黑点。 第二次照蛋: 一般在入孵后 $11 \sim 12$ 天进行 (鸭、鹅蛋在 $15 \sim 16$ 天), 主要是判断温度是否合适。 第三次照蛋: 入孵后 $18 \sim 19$ 天进行 (鸭蛋在 25 天、鹅蛋在 28 天), 主要结合落盘检查胚胎发育是否正常。发育正常的胚胎, 蛋的钝端气室边缘呈波浪状, 气室下血管明显, 锐端有黑影, 胚胎闪动, 用手摸发热, 死胚蛋靠近气室边缘颜色灰暗, 血管模糊不清, 用手摸发凉。 照蛋时, 为了不影响胚胎发育, 室温升高到 $28 \sim 30^{\circ} \mathrm{C}$ , 照蛋操作力求快、准、稳、安全。
在孵化过程中为什么要凉蛋? 怎样凉蛋？	凉蛋的主要目的是散发多余的热量, 调节温度, 防止孵蛋超温。胚胎发育到中、后期, 胚体增大, 代谢加强, 产生大量的热 量,若温度偏高,对胚胎发育不利。只有通过凉蛋,调节机内空气,降低机温,排出机内污浊气体,让胚胎得到更多的新鲜空气,才能促进胚胎代谢,增强家禽胚胎的活力。 凉蛋的时间和方法:根据孵化方法、日期及季节而定。如果是早期胚胎及寒冷季节,不宜多凉或不凉;后期胚胎或在夏季,应多凉。因为早期胚胎本身产热量少,寒冷季节凉蛋时间过长容易使胚胎受凉,在这种情况下,一般每天凉蛋 $1\sim 2$ 次,每次时间 $5\sim 15$ 分钟。后期胚胎产热多,夏季气温又高,每天凉蛋 $2\sim 3$ 次,每次时间 $30\sim 40$ 分钟。 如果采用火炕、平箱、摊床等孵化方式,可增减覆盖物或结合翻蛋进行凉蛋。 凉蛋时可用眼皮试温,即贴眼皮,稍感微凉( $30\sim 33^{\circ}C$ )即可停止凉蛋。
家禽常用的孵化方法有哪些？	家禽的孵化分自然孵化和人工孵化。所谓自然孵化即老母鸡抱窝,过去农村一直沿用这种方法。自然孵化的孵化数量小,孵化时间主要依据抱窝鸡而定。随着现代鸡种的选育,生产性能的迅速提高,现代鸡种的就巢性已被逐渐淘汰,靠老母鸡抱窝进行后代繁衍早已成为过去。人工孵化就是人为地创造适宜家禽孵化的条件而进行的孵化,包括机器孵化和手工孵化。手工孵化法有火炕孵化法、电褥子孵化法、塑料热水袋孵化法等。
怎样利用孵化器孵鸡、鸭、鹅？	使用孵化机孵鸡、鸭、鹅,是一项技术性很强的工作,孵化人员必须经过严格训练,才能熟练掌握孵化技术。 (1)孵化前的准备 $①$ 制订孵化计划:首先根据设备条件、孵化能力、种蛋供应、雏禽销售信息等情况,周密、妥善考虑, 编制适宜的孵化计划。同时安排好孵化工作人员及勤杂人员。 $②$ 孵化室、孵化机的消毒:入孵前一个星期,在检修机械各部位的同时,要对孵化室和孵化机进行清理消毒。室内屋顶、地面、各个角落都要清扫干净,机内刷洗干净后,用高锰酸钾、甲醛熏蒸消毒,或与入孵种蛋一起消毒。 $③$ 检查蛋盘:检查蛋盘框是否牢固,铁丝是否有脱位、弯曲、折断等现象,蛋盘必须逐个仔细检查。 $④$ 机体检查:反复开、关机门,仔细观察是否严密,机体四壁、上顶、底板是否因受潮变形或开缝,如有毛病要及时修补。 $⑤$ 校正检修机器:在孵化前一周,要检查电孵机各部件安装是否妥当、牢固,各电器系统是否接好、灵敏、准确。检测温度计准确度的方法:将体温计与孵化用温度计插入 $38^{\circ}C$ 温水中,观察温差,如温差超过 $0.5^{\circ}C$ 以上,更换或用胶布贴上差度标记。接通电源,扳动电热开关,观察供温、供湿、警铃等系统的接触点,看是否接触失灵。调节控温、控湿水银导电温度计至所需温度、湿度。还要检查电机及传动系统是否正常,风扇皮带是否松弛,翻蛋装置是否安装牢固。上述部分均无问题,要试机运转 $1\sim 2$ 天,一切正常后再正式入孵。 (2)孵化期管理 $①$ 种蛋入孵:装盘后的种蛋,经过预热、消毒即可入孵。为使种蛋码盘后很快达到孵化温度,种蛋应在入孵前12小时左右装入蛋盘中,移入孵化室内预热,然后将蛋盘装入孵化机内的蛋架,经熏蒸消毒后开机孵化,要注意保持蛋架的平衡,防止蛋车翻倒。开孵时间最好安排在下午4点以后,这样大批出雏的时间正好是白天,便于出雏操作。一般立体孵化机每 $5\sim 7$ 天入孵一次,可在同一台孵化机内进行多批次孵化。为了便于区别,在分批上蛋时,每次上的蛋盘要记上特殊显眼的标记,并使各批入孵的蛋盘一套间一套地交错放置,这样"新蛋"和"老蛋"能相互调节温度,既省电,孵化效果又好。 $②$ 温度调节:温度经过设定之后,一般不要轻易变动。刚入孵时,由于开门放蛋,散失部分热量,种蛋和蛋盘又要吸收部分热量,而使孵 化机内温度骤然下降, 这是正常现象, 过一段时间会逐渐恢复正常。在孵化期间, 要时常注意孵化温度的变化。当温度偏离给温要求 $0.5^{\circ} \mathrm{C}$ 以上时, 就应进行调节。每次调节的幅度要小, 逐步调至机内温度允许波动的范围内。当整批孵化采用"前高、中平、后低"的孵化温度时, 逐渐降温也应遵循小幅度调节的原则。孵化机内的温度要每隔半小时观察 1 次, 每隔 2 小时记录 1 次。③湿度调节: 将干湿球温度计放置在孵化机内, 工作人员通过机门玻璃窗观察了解机内的相对湿度、如果机器没有调湿装置, 湿度的调节主要靠增减水盘、升降水温等措施。当湿度偏低时, 应增加水盘, 提高水温, 加速蒸发, 或向孵化室地面洒水, 必要时可直接喷雾提高湿度。北方的大部分地区应注意防止湿度偏低, 沿海及降雨量较大的地区要注意防止湿度过高。一般每天加水一次, 外界气温低时应加温水。④通风与翻蛋: 如孵化器没有自动通风装置, 应采取人工通风。一般入孵后第一天可不进行通风, 但从第二天起就要逐渐开大风门, 增加通风量, 夏季高温高湿, 机内热量不易散出, 应增大通风量。在孵化时, 每 2 小时翻蛋一次, 并记住翻蛋方向, 注意手工翻蛋要"轻、稳、慢"。目前生产中使用的立体孵化器均有自动通风系统和翻蛋装置, 因而省去了不少麻烦。⑤照蛋: 一般于孵化第 $5 \sim 7$ 天和第 $18 \sim$ 19 天 (鸭在第 25 天, 鸭在第 28 天) 进行两次照蛋, 也可在孵化第 $11 \sim 12$ 天 (鸭、鹅在第 $15 \sim 16$ 天) 再进行抽查照蛋, 以便及时检出无精蛋和死胚蛋, 并观察胚胎的发育情况。在进行照蛋时, 要提高孵化室温度, 尽量缩短时间, 要稳、准、快。⑥移盘与拣雏: 在孵化第 $18 \sim 19$ 天 (鸭在第 25 天, 鸭在第 28 天) 最后一次照蛋后, 剔除死胚蛋, 把发育正常的活胚蛋移入出雏箱的出雏盘中准备出雏, 称为移盘或落盘。移盘时间可根据胚胎发育情况灵活掌握。如发育得好, 此时气室已斜口, 下部黑暗, 应及时移盘。如果气室边界平整, 下部发红, 则为发育迟缓, 应稍晚些时间移盘。移盘时要轻、快, 尽量缩短操作 时间,以减少破蛋或蛋温下降。移盘前出雏箱内的温度要升至 $36.6\sim 37.2^{\circ}C$ ,移盘后要停止翻蛋,增加水盘,提高湿度,保证顺利出雏。鸡蛋孵化满20天就开始出雏,孵至20.5天时大批出雏。当 $30\%$ 以上雏鸡出壳时,就可以拣出羽毛基本干了的雏鸡,同时拣出空壳,每隔4小时拣雏一次。拣雏时不要同时打开前后机门,以免出雏器内温度、湿度下降过快,影响出雏。 $⑦$ 清扫与消毒:出雏完毕,必须对出雏器、孵化器、孵化室等进行清扫和消毒。出雏盘、水盘冲洗干净后放入出雏箱内,进行熏蒸消毒。 $⑧$ 孵化记录:在孵化期间,工作人员要认真做好记录工作。每次照蛋后,应将检出的无精蛋、死胚蛋、破蛋的数量,以及出雏数、毛蛋数分别统计。记录填写要及时、准确,以便统计孵化成绩,为孵化工作积累经验。常用的孵化记录表见表2- 1。 <table><tr><td rowspan="2">批次</td><td rowspan="2">上蛋日期</td><td rowspan="2">种蛋来源</td><td rowspan="2">上蛋数量</td><td colspan="3">头照</td><td colspan="3">二照</td><td colspan="3">三照</td><td colspan="3">出雏</td><td>毛蛋数</td><td rowspan="2">受精蛋数</td><td rowspan="2">受精率(%)</td><td rowspan="2">备注</td></tr><tr><td>合计</td><td>无精</td><td>死胚</td><td>破损</td><td>合计</td><td>死胚</td><td>合计</td><td>死胚</td><td>落盘数</td><td>健雏</td><td>弱雏</td><td>死亡</td><td>出雏总数</td></tr></table>
怎样用火炕孵鸡、鸭、鹅？	用火炕孵化鸡、鸭、鹅是我国北方民间传统的孵化方法,其设备简单,投资少,适用于农村缺电的地方。 (1) 建炕 宜选择背风朝阳、保温良好的房屋作孵化室,将炕建在室内中央。火炕一般用土坯或砖砌成,炕高 $65\sim 75$ 厘米,宽 $180\sim 200$ 厘米,长度依孵化数量和房屋状况而定。炕灶烟道的搭法以好烧、炕温均匀、不倒烟为原则。炕上铺一层黄土,再 铺一层麦草和席子。 (2) 搭设摊床 摊床为孵化中后期放置种蛋继续孵化和出雏的地方, 一般设在炕的上方, 即在离炕面 1 米左右用木柱 (或木棒) 搭成棚架。摊床可搭 $1 \sim 3$ 层, 若搭 2 层或 3 层, 两层间的距离以作业不碰头为宜。摊床上用秫秸 (高粱秸) 铺开, 再铺稻草或麦秸, 上面铺苇席或棉被。摊床的四周用木板做成围子, 以防止胚蛋滚落。摊床架要牢固, 防止摇晃 (图 2-1)。 ![](https://cdn-mineru.openxlab.org.cn/extract/5446c155-4f55-4eef-b9b2-cd40e853aa89/f4d1eeba56952ebe6044b36a422883708b909e09038cd497debf8e68333c8288.jpg) 图2-1 火炕孵化示意图 1. 支架 2. 摊 3. 脚木 4. 火炕 另外, 还要准备棉被、毯子、被单、火炉、温度计、手电、照蛋器等孵化用具。 (3) 孵化操作 孵化前先把炕烧热到 $40 \sim 41^{\circ} \mathrm{C}$ , 炕面温度要均匀, 室温达到 $25 \sim 27^{\circ} \mathrm{C}$ , 种蛋经过选择、消毒后, 用 $40^{\circ} \mathrm{C}$ 温水浸泡 5 分钟, 即可上炕入孵。摆蛋的方法: 钝端朝上或平放均可, 摆 2 层, 要摆整齐、靠紧, 盖上棉被即可入孵。一般头两天炕温保持在 $39^{\circ} \mathrm{C}$ , 以后保持在 $38 \sim 39^{\circ} \mathrm{C}$ , 直到上摊。蛋间插一支温度计, 以备经常检查温度。如果蛋温偏高或偏低, 可用增减棉被或开闭门窗来调节。入孵第 1、2 天应特别注意观察温度变化, 及时翻蛋, 一般每 $2 \sim 3$ 小时翻蛋一次, 使蛋面受热均匀, 胚胎发育一致: 第 2 天后, 炕温稳定, 可 $4 \sim 6$ 小时翻蛋一次。 翻蛋方法: 即上层蛋翻至下层, 下层蛋翻至上层, 中央蛋翻至边缘, 边缘蛋翻至中央。 湿度调节, 可在墙角放一盆水, 保持室内湿度在 $65\%$ 左右即可。 孵化 $5 \sim 7$ 天, 进行头照; 孵化 $11 \sim 12$ 天照二照 (鸭、鹅在 $15 \sim 16$ 天), 然后把胚蛋移至摊床上继续孵化。这以后主要靠胚胎自身产生的热量和室温来维持孵化温度。上摊前, 蛋温应提高到 $39^{\circ} \mathrm{C}$ , 以免上摊后温度下降幅度太大, 影响孵化效果。摊床上与火炕上孵化同样管理, 蛋温靠增减棉被 (毯子、被单)、翻蛋、凉蛋来调节。 在正常情况下, 鸡孵化至 19 天 (鸭在 25 天, 鹅在 28 天), 停止翻蛋, 提高室温至 $27 \sim 30^{\circ} \mathrm{C}$ , 湿度增加到 $70\% \sim 75\%$ 。20 天开始出雏, 在大批啄壳时除去覆盖物, 以利于胚蛋获得新鲜空气。每隔 $2 \sim 4$ 小时将绒毛已干的雏鸡与蛋壳一起拣出, 并将剩余的活胚蛋集拢在一起, 以利于保温, 促进出雏。
怎样用塑料膜热水袋孵鸡、鸭、鹅？	用塑料膜热水袋孵化, 热源方便, 温度均匀, 孵化效果好、且成本低, 适于农户小批量生产, 便于掌握应用。 (1) 准备工作 首先准备好水袋和套框。水袋用市售筒式塑料膜即可, 其规格为 80 厘米 $\times 240$ 厘米, 两端不必封口; 用木板做一个长方形木框套在水袋的外面, 起保温和保护水袋的作用, 水袋开口搭在高出水面的框沿外, 以防漏水同时便于换水。 其次是烧好火炕, 做好孵化室保温工作, 再准备几支温度计和湿度计及棉被 $2 \sim 3$ 条。 (2) 操作技术 入孵前先把炕烧热, 然后把木框平放在火炕上, 框底铺一层麻袋片或牛皮纸, 塑料膜水袋平放在木框内。然后往袋里加 $40^{\circ} \mathrm{C}$ 温水, 水量使水袋鼓起 12 厘米左右即可。框内 四周与水袋之间用棉花或软布塞上,以利于保温和防止水袋磨破。 把种蛋放入蛋盘或直接平摆于水袋上面,在蛋的中间平放一支温度计,盖上棉被即可开始孵化。塑料膜热水袋孵化模拟见图2- 2。 ![](https://cdn-mineru.openxlab.org.cn/extract/5446c155-4f55-4eef-b9b2-cd40e853aa89/357477b2523b19e24174d5b8f438328386c95a0ae560921b6f73419898702d71.jpg) 图2-2 塑料热水袋孵化模拟图 1. 塑料袋 2. 种蛋 3. 棉被 4. 水 5. 木框 6. 火炕 蛋面温度:以鸡为例, $1\sim 7$ 天为 $39\sim 38.5^{\circ}C$ , $8\sim 18$ 天为 $38.5\sim 38^{\circ}C$ , $19\sim 21$ 天为 $37.5^{\circ}C$ 。室温保持在 $27^{\circ}C$ 左右。 孵化温度的掌握,主要靠往水袋里加冷、热水来适度调节。为了便于工作,从入孵当天开始,要使坑面温度保持相对稳定,这样可以延长水袋里水温的保持时间,减少加温水次数。每次换水时,先从水袋里放出一定量的水,然后加入等量的温水,使水袋里的水量保持不变。 翻蛋:每昼夜翻蛋 $4\sim 6$ 次,孵化到第19天(鸭在25天,鹅在28天),停止翻蛋,注意检查温度,准备出雏。
怎样利用电褥子孵鸡、鸭、鹅？	目前农村有些地方利用电褥子孵鸡、鸭、鹅,效果较好。操作方法:用双人电褥子(规格95厘米 $\times 105$ 厘米)两个。一个铺在火炕上(停电时可烧炕供温),炕面上先铺设 $2\sim 3$ 厘米厚的垫草,再铺上电褥子,最后铺一层薄棉被,接通电源,预热到 $40^{\circ}C$ 。种蛋入孵时,揭开棉被,将已消过毒、挑选好的种蛋平放在电褥子上面,四周用保温物围好,防止种蛋滑落。温度计平放 在蛋中间,上面再盖上棉被,即可开始孵化。另一条电褥子放在铺有垫草的摊床上备用。 温度掌握:以鸡蛋为例,蛋面的温度,要求第 $1\sim 4$ 天为 $40\sim 38.5^{\circ}C$ ;第 $4\sim 11$ 天为 $38.5^{\circ}C$ ;第 $12\sim 18$ 天为 $38.5\sim$ $37.5^{\circ}C$ ;第 $19\sim 21$ 天为 $38\sim 37.5^{\circ}C$ 。孵化室内温度保持在 $27\sim 30^{\circ}C$ 。温度的高低通过接通或关闭电褥子电源来调节。孵化的第 $1\sim 2$ 天,每小时检查一次温度,相对湿度调节在 $65\% \sim 75\%$ 。 入孵后 $5\sim 6$ 天,进行第一次照蛋,孵化 $11\sim 12$ 天,进行第二次照蛋。第12天移至摊床电褥子上继续孵化,炕上的电褥子再孵新蛋。每次可孵化种蛋 $400\sim 500$ 个。 在孵化过程中,前 $1\sim 2$ 天,每两小时翻蛋一次,第3天温度稳定后,可间隔 $4\sim 6$ 小时翻蛋一次。孵化后期蛋温偏高时,可用翻蛋、凉蛋的办法来调节。孵化到第17天,注意室内通风换气,特别在出壳时要保持室温 $27\sim 30^{\circ}C$ ,室内要有新鲜空气和适宜的湿度,为胚胎发育提供良好的环境条件。
怎样鉴别初生雏公母？	(1)雏鸡的雌雄鉴别 $①$ 羽色鉴别:利用初生雏鸡绒毛颜色的不同,直接区别雌雄。如:褐壳蛋鸡品种伊莎褐、罗斯褐、海兰褐、尼克红、罗曼褐等都利用其羽色自别雌雄。用金黄色羽的公鸡与银白色羽的母鸡杂交,其后代雏鸡中,凡绒毛金黄色的为母雏,银白色的为公雏。 $②$ 羽速鉴别:控制羽毛生长速度的基因存在于性染色体上,且慢羽对快羽为显性。用慢羽母鸡与快羽公鸡杂交,其后代中凡快羽的是母鸡,慢羽的是公鸡。区别方法:初生雏鸡若主翼羽长于覆主翼羽为母雏;若主翼羽短于或等于覆主翼羽则为公雏。 $③$ 翻肛鉴别:左手握雏鸡,用中指和无名指轻夹雏鸡颈部,用无名指和小指夹雏鸡两脚,再用左拇指轻压腹部左侧髋骨下缘,借助雏鸡的呼吸,让其排粪。然后以左手拇指靠 近腹侧,用右手拇指和食指放在泄殖腔两旁,三指凑拢一挤,即可翻开泄殖腔。泄殖腔翻开后,移到强光源(60瓦乳白色灯泡)下,可根据雏鸡生殖突起的大小、形状及生殖突起旁边的八字形皱襞是否发达来区别公母(表2- 2)。翻肛鉴别初生雏鸡的整个操作过程动作要轻、快、准。用此法鉴别雌雄,适宜的时间是在出壳后 $2\sim 12$ 小时内进行,超过24小时,生殖突起开始萎缩,甚至陷入泄殖腔深处,难以进行鉴别。 表2-2 初生雏鸡生殖突起的形态特征 <table><tr><td>性别</td><td>类型</td><td>突起生殖</td><td>八字皱襞</td></tr><tr><td rowspan="3">雌雏</td><td>正常型</td><td>无</td><td>退化</td></tr><tr><td>小突起</td><td>突起较小,不充血,突起下有凹陷,隐约可见</td><td>不发达</td></tr><tr><td>大突起</td><td>突起稍大,不充血,突起下有凹陷</td><td>不发达</td></tr><tr><td rowspan="6">雄雏</td><td>正常型</td><td>大而圆,形状饱满,充血,轮廓明显</td><td>很发达</td></tr><tr><td>小突起</td><td>小而圆</td><td>比较发达</td></tr><tr><td>分裂型</td><td>突起分为两部分</td><td>比较发达</td></tr><tr><td>肥厚型</td><td>比正常型大</td><td>发达</td></tr><tr><td>扁平型</td><td>大而圆,突起变扁</td><td>发达,不规则</td></tr><tr><td>纵裂</td><td>尖而小,着生部位较深,突起直立</td><td>不发达</td></tr></table> (2)雏鸭、雏鹅的雌雄鉴别 初生的雏鸭和雏鹅的性别鉴定比较容易。因鸭鹅均有外部生殖器,呈螺旋形,翻转泄殖腔时即可拨出。养殖人员创造的触摸方法,从雏鸭肛门上方开始,轻轻夹住直肠往肛门方向触摸,如有肛门上方稍微感到有突起物即为雏鸭的阴茎,可判断为公雏,如手指感到平滑没有突起,就是母雏。这种方法不需翻泄殖腔、操作简便,但操作人员需要有一个熟练过程。
怎样划分生长鸡的养育阶段？	根据鸡的生长发育规律和饲养管理上的特点, 可将生长鸡的培育过程大致分为育雏期和育成期。幼鸡从出壳到离温前需要人工给温的阶段称为育雏期, 这一阶段的幼鸡称为雏鸡或幼雏, 一般所指的育雏期为 $0 \sim 6$ 周龄。从脱温后到产蛋前这一阶段称之为育成期, 此阶段的青年鸡称为育成鸡, 留作种用的叫后备鸡, 一般所指的育成期为 $7 \sim 20$ 周龄, 种用鸡为 $7 \sim 22$ 周龄。
雏鸡有哪些生理特点？	(1) 雏鸡体温调节机能不完善, 既怕冷又怕热 鸡的羽毛有防寒作用并有助于体温调节, 而刚出壳的雏鸡体小, 全身覆盖的是绒羽且比较稀短, 体温调节机能差。当环境温度较低时, 雏鸡的体热散发加快, 导致体温下降和生理机能障碍; 反之, 若环境温度过高, 因鸡没有汗腺, 不能通过排汗的方式散热。因此, 在育雏时要有较适宜的环境温度, 刚开始时须供给较高的温度, 第2周起逐渐降温, 以后视季节和房舍设备等条件于 $4 \sim 6$ 周龄脱温 (即不再人工加温)。 (2) 雏鸡生长发育快, 短期增重极为显著 在鸡的一生中, 雏鸡阶段生长速度最快。蛋用型雏鸡的初生重量为 40 克左右, 2 周龄时增加 2 倍, 6 周龄时增加 10 倍。因此, 在供给雏鸡饲料时既要力求营养完善, 又要充足供应, 这样才能满足雏鸡快速生长发育的需要。 (3) 雏鸡胃肠容积小, 消化能力弱 雏鸡的消化机能尚不健全, 加之胃肠道的容积小, 因此在饲养上要精心调制饲料, 做到营养丰富, 适口性好, 易于消化吸收, 且不间断供给饮水, 以满足雏鸡的生理需要。 (4) 雏鸡胆小, 对环境变化敏感, 合群性强 雏鸡胆小易惊, 外界环境稍有变化都会引起应激反应。如育雏舍内的各种声响、噪音和新奇的颜色, 或陌生人进入等, 都会引发鸡群骚动不安, 影响生长, 甚至造成相互挤压致死致伤。因此, 育雏期间要避免一切干扰, 工作人员最好固定不变。 (5) 雏鸡抗病力差, 且对兽害无自卫能力 雏鸡体小娇嫩, 免疫机能还未发育健全, 易受多种疫病的侵袭, 如新城疫、马立克氏病、白痢病、球虫病等。因此, 在育雏时要严格执行消毒和防疫制度, 保证环境卫生。在管理上保证育雏舍通风良好, 空气新鲜; 经常洗刷用具, 保持清洁卫生; 及时使用疫苗和药物, 预防和控制疾病的发生。同时, 还要注意关紧门窗, 防止老鼠、黄鼠狼、犬、猫等进入育雏舍伤害雏鸡。
