featureID,featureName,featureProperty
feature_d55107e3,食道粘膜有白色小米大结节,pathology
feature_111a63b4,关节肿大,other
feature_39516261,跛行,symptom
feature_a075ee64,触诊有波动感,clinical_sign
feature_bf8dea14,切开关节流出浑浊液体,other
feature_2fedaf48,重者关节腔内有干酪样物质,other
feature_55c35aac,涂片镜检可见革蓝氏阴性小杆菌,symptom
feature_31f2bdbf,多个关节性肿胀,symptom
feature_9d00dab1,以跗,other
feature_1576ca7f,趾关节多见,other
feature_b2059891,病鸡跛行,symptom
feature_e1831610,不愿意站立走动,other
feature_a608d453,关节肿胀紫红,symptom
feature_5662106c,逐渐化脓,other
feature_eef01d92,有的形成趾瘤,other
feature_3cdc48c4,切开关节后,other
feature_3a0bd5c6,流出黄色脓汁,other
feature_4e30f32e,涂片镜检可见大量葡萄球菌,symptom
feature_cf397a92,跗关节肿胀,symptom
feature_4d332c95,热感,other
feature_11ce046f,站立,other
feature_74010029,运动困难,other
feature_34466703,切开后关节囊内有粘稠液体,other
feature_e21e08b5,多发于4-16周龄,age_feature
feature_52e82abe,偶尔见于成年鸡,age_feature
feature_0f5196cb,跗关节及后侧腓肠肌腱,other
feature_aa776c68,腱鞘肿胀,symptom
feature_00c705fd,表现为拐腿,symptom
feature_fe280f3f,重者不能站立,other
feature_0404c7cb,多为侧性跗关节与腓肠肌腱肿胀,symptom
feature_f53ff0a3,关节腔积液呈草黄色,other
feature_d160a3b4,淡红色,other
feature_7c722446,有时腓肠肌腱断裂,other
feature_ef0efeda,出血,symptom
feature_e62afb4a,外观病变部位呈青紫色,pathology
feature_1a81435f,四肢关节肿胀,symptom
feature_5c7c720e,有的肢掌趾关节肿胀,symptom
feature_226797fb,走路不稳,other
feature_c051c55d,关节囊内有淡黄,other
feature_3edd286f,灰色石灰乳样尿酸盐沉积,other
feature_112a0282,跗关节轻度肿大,other
feature_f29f9408,周围点状出血,symptom
feature_a8066c0f,长骨短粗,other
feature_4f4cde81,跖骨变形变曲,other
feature_6f1e10f9,雏鸡,age_feature
feature_f65a47fc,青年鸡可见滑腱症（骨骼畸形）,symptom
feature_81146c2e,肝脂肪含量增多,other
feature_4007a845,成年鸡主要表现为机体脂肪过度沉积,symptom
feature_339c9d09,一般无关节病变,pathology
feature_a26a8dcf,跗趾关节肿胀,symptom
feature_2dd17736,肢趾向内卷曲成拳状,other
feature_a0158c57,即“卷爪”,other
feature_9543dadb,双脚不能站立,other
feature_40de5ba9,行走困难,other
feature_f69057c8,两侧坐骨神经,other
feature_a7a0ef85,臂神经显著肿大,other
feature_83bc727a,变软,other
feature_d5cc3ed1,为正常的4-5倍,other
feature_cb60fd3a,胃肠道粘膜萎缩,pathology
feature_8ca6f96f,肠内有泡沫状内容物,other
feature_ebf29750,多办发于育雏期,other
feature_bb43f26c,产蛋高峰期,age_feature
feature_eec8c497,一般胫骨短粗,other
feature_47f74430,偶尔也会有滑腱症,other
feature_f3bf4e9b,头颈部麻痹症状,symptom
feature_39cef660,头无法抬起,other
feature_2842299c,向前伸直下垂,other
feature_722df901,喙触地,other
feature_c23da6fa,雏鸡嘴角上下交错,age_feature
feature_f9eea5d1,跗关节明显肿胀,symptom
feature_f6f514f1,腿屈曲无法站立,other
feature_f49cc329,行走,other
feature_d565f635,长骨变短粗,other
feature_b0fcf395,但不变软脆,other
feature_d1073a84,雏鸡表现为典型的滑腱症,symptom
feature_5a395ba0,跗关节肥大,other
feature_0a63ce1a,腿枝短粗,other
feature_56fca75c,轻者肢,other
feature_0f9f7bc3,腿皮肤有鳞片状皮屑,other
feature_1508ac2f,重者腿,other
feature_9da36060,皮肤严重角化,other
feature_b223744d,肢掌有裂缝,other
feature_e440d8b2,羽毛末端严重缺损,other
feature_65d4876a,尤以翼羽明显,other
feature_2d402d62,四肢麻痹,symptom
feature_a8ae2e19,共济失调,other
feature_5e90aa13,因肌肉痉挛,other
feature_7cdd8a32,震颤,symptom
feature_683ef19d,常引起转圈运动,other
feature_636ac3f8,有呼吸道症状,symptom
feature_952069ee,剖检见十二指肠,pathology
feature_5babf566,卵黄蒂后2-3CM,other
feature_fdc226e4,回盲处淋巴滤泡肿胀,symptom
feature_9d00caac,溃疡,pathology
feature_db6b142d,腺胃乳头顶端出血,symptom
feature_9f26222f,各日龄段均可发病,age_feature
feature_72462d18,轻者运动失调,other
feature_b56fff12,步态异常,other
feature_c828c384,重者瘫痪,symptom
feature_6018d20d,呈“劈叉”病症,other
feature_a070c7c4,特征性“劈叉”姿势,other
feature_ec3964a7,剖检见腰荐神经丛,pathology
feature_0c49e571,臂神经丛,other
feature_75dc4612,坐骨神经均呈单侧性肿粗,other
feature_03a3a2b0,神经的横纹消失,other
feature_d9498241,多发于青年鸡,age_feature
feature_2761199f,走路前后摇晃,other
feature_a629a04c,步态不稳,other
feature_12d7c759,以跗关节,other
feature_a0d21f54,翅膀支撑前行,other
feature_77da3a81,头颈部震颤,symptom
feature_c189772b,尤其在受惊后,other
feature_86948ad9,将鸡倒提起时,other
feature_3a0bc586,震颤加强,symptom
feature_d769cf50,剖检见脑水肿,pathology
feature_91e1d82c,充血,other
feature_90af1f71,但无出血现象,symptom
feature_4497668c,肌胃内有细小的灰白色病变区,pathology
feature_ab816041,多发于三周龄以内的雏鸡,age_feature
feature_6f929a5d,翅麻痹,symptom
feature_88b35975,轻瘫,other
feature_cb8430b3,胸肌,other
feature_dc1cd67c,腿肌出血,symptom
feature_935b554d,胸骨内侧胰腺边缘出血,symptom
feature_3cd3c779,肌胃角质膜下出血明显,symptom
feature_cea4171d,输卵管内有鼻涕样液体,pathology
feature_5028eeed,垂头,other
feature_dcd19470,昏睡状,other
feature_5a5ce8b9,有的鸡有歪头,other
feature_2bf7ed46,斜颈共济失调,other
feature_6d6bc636,抽搐症状,symptom
feature_df93ecd8,脑膜充血,other
feature_a9508160,小脑膜及实质有许多针尖大小出血点,symptom
feature_d17e8c8e,涂片染色,lab_feature
feature_c657aeac,镜检可见革蓝氏阴性小杆菌,symptom
feature_f55a5091,高度兴奋,other
feature_448af348,奔跑,other
feature_6ffad8f4,重者倒地仰卧,other
feature_41c7c41a,抽搐,symptom
feature_daaa7cfd,抢水严重,other
feature_f20d4441,伴有严重腹泻,symptom
feature_363ea1b3,剖检脑膜充血,pathology
feature_40b6192d,水肿,other
feature_c114fafe,颈部肌肉麻痹,symptom
feature_5cb4bf57,抬头向前平伸,other
feature_1c26ebb3,啄着地,other
feature_04809b65,软颈”症状与肉毒中毒相似,symptom
feature_5befa29d,但病鸡精神尚好,other
feature_0d8414f7,胫骨短粗,other
feature_2db57dbb,有时可见滑腱症”,symptom
feature_d0469edd,般不易出现叶酸缺乏症,symptom
feature_860649ff,头颈弯曲有时出现角弓反张,symptom
feature_e8f6a2a9,两腿痉挛抽搐,symptom
feature_fac38c8c,行走不稳,other
feature_68eec437,瘫痪,symptom
feature_33602ad5,脑充血,other
feature_8bdc03b0,有散在出血点,symptom
feature_a227f2be,以小脑尤为明显,other
feature_dc295fd6,大脑后半球有液化灶,other
feature_5183f14c,脑实质严重软化,other
feature_f3f43c9f,呈粥样,other
feature_b2f24e0d,肌肉苍白,other
feature_8e9dbe46,多见于雏鸡,age_feature
feature_9712dd76,呈角弓反张症状,symptom
feature_d772f7eb,呈特征性的观星症状,symptom
feature_e83027fe,剖检可见胃,symptom
feature_64feda9b,肠道萎缩,pathology
feature_f111f4ae,右心扩张,other
feature_a196f38b,松弛,other
feature_e2616ff9,雏鸡多为突然发生,age_feature
feature_87957b57,成年鸡发病慢,age_feature
feature_83846ae1,雏鸡异常兴奋,age_feature
feature_6492ae3a,盲目奔跑,other
feature_2823af7c,腿软,other
feature_a99f11fe,翅下垂,other
feature_5ce0106c,以胸着地,other
feature_283ca59a,痉挛,other
feature_a5361de2,肌胃糜烂,other
feature_f8a573f0,产蛋鸡输卵管,pathology
feature_46e60859,卵巢,pathology
feature_d4ab86e6,肉垂退化,other
feature_a2f46a3e,排绿色稀便,other
feature_d38d75c1,呼吸困难,symptom
feature_f8ca7d7d,有呼噜声,other
feature_dcbdef4b,有甩头,other
feature_61ebfd8d,扭颈轻微瘫痪等神经症状,symptom
feature_f8f87aaf,喉头气管内有大量粘液,other
feature_552af9fd,消化道粘膜肿胀,symptom
feature_8cd93200,急性败血型可见排白色,symptom
feature_2f3a78b5,黄绿色稀便,other
feature_7372979a,可表现多种类型的病症,symptom
feature_d80192d3,"急性败血型主要表现为：三包炎（心包炎,肝周炎,腹膜炎）",symptom
feature_4acbb253,白色水样下痢,other
feature_81376128,3-6周龄多发,age_feature
feature_18c564fb,死亡率高,epidemiology
feature_2c9c5c32,法氏囊肿胀,symptom
feature_6b71c760,肌肉於血,other
feature_3fcbfb29,花斑肾.,other
feature_7cedc973,黑褐色,other
feature_9d322956,带血色稀粪,symptom
feature_3ebabec9,小肠中后段肠壁出血,symptom
feature_99ca326a,斑点呈不规则型,other
feature_7c4b3959,肠壁坏死,pathology
feature_d0f78688,有土黄色坏死灶,pathology
feature_71c3de04,有时有灰黄色厚层假膜,other
feature_041987be,肝脏可见2-3MM圆形坏死灶,symptom
feature_94ec60a9,带血稀便,other
feature_9c31d9d4,病鸡头部黑紫色,other
feature_6176c5ba,盲肠有出血坏死性肠炎,symptom
feature_66922b45,肠内容物凝固,other
feature_ecf1d54d,切面呈层状,other
feature_5c54becb,中心为血凝块,other
feature_3a0509a4,肝脏色黄中心凹陷,pathology
feature_5489d3ab,周围隆起,other
feature_bcd0ce36,呈黄绿色碟状坏死灶,pathology
feature_049442d4,排血便,other
feature_d9dc07dd,3周龄以下雏鸡多发,age_feature
feature_daa502dd,为急性经过,other
feature_1dec72cb,盲肠,pathology
feature_c9270073,小肠出现出血性,symptom
feature_e46ddae5,坏死性炎症,pathology
feature_4156945f,胃肠壁有白色,other
feature_38c241eb,红山（暗红）针尖状小点,other
feature_5e324c6a,羽毛蓬松,other
feature_f8ede690,爱扒料,other
feature_02d6c9a8,白色,other
feature_d8f7a172,石膏样稀便,other
feature_c36357f5,急性型多见于2周龄左右的雏鸡,age_feature
feature_d647ea0b,脐带红肿,other
feature_43df79dc,卵黄吸收不全,other
feature_c260dd74,慢性可见肝,symptom
feature_9c1802cf,心有灰白色坏死点,pathology
feature_e3faef31,有时一侧盲肠内容物凝固,pathology
feature_b81f9ade,肠壁增厚,other
feature_550df2fc,成鸡,other
feature_55f528f7,青年鸡多呈隐性感染,age_feature
feature_20c64dda,卵泡萎缩,other
feature_d44380fd,变形,other
feature_b137cd16,有时脱落,other
feature_8f3a76a8,破裂引起腹膜炎,other
feature_b8537ac5,多见于育成鸡,age_feature
feature_3e04597c,肾脏肿大为正常2-4倍,pathology
feature_08be4a17,肝脾呈青铜色,other
feature_2f73912e,有黄白色坏死点,pathology
feature_9a42f74c,卵泡充血,other
feature_dfb32d89,有的破裂,other
feature_4bd3fe50,黄绿色,other
feature_6e119171,淡红色水样带粘液,other
feature_0824e29b,气泡样下痢,other
feature_92a33822,小肠,other
feature_ebcf7f34,盲肠有大量圆形溃疡灶,pathology
feature_f0e63279,中心凹陷,other
feature_32cd0192,有时发生穿孔,other
feature_363fc7f3,肝脏黄色,pathology
feature_da71209e,灰色圆形小病灶,other
feature_3f099e00,大片不规则坏死区,pathology
feature_fb3a9f33,伸颈呼吸,other
feature_e03b1aee,咳嗽,other
feature_2c5e965a,甩头,other
feature_e91fb226,呼噜,other
feature_8ce4c1c7,斜颈歪头,other
feature_ca540681,翼麻痹,symptom
feature_cd24ff17,产蛋下降,other
feature_c4a5fea7,剖检仅见喉头,pathology
feature_ff07e050,气管有粘液,other
feature_9bbb7e25,气管粘膜增厚环状出血,symptom
feature_b1a53cfb,脑有出血点,symptom
feature_b423dd07,甩鼻,other
feature_11e25a61,打喷嚏,other
feature_2812f16c,发病率高,epidemiology
feature_a5dcd968,死亡率低,epidemiology
feature_9c44794b,鼻塞症状明显,symptom
feature_dcf5ab81,主要表现流鼻液,symptom
feature_9abd0fb9,剖检鼻腔,pathology
feature_c16e3c72,鼻窦粘膜红肿,other
feature_567a8902,脸肿但软,other
feature_2d593f9f,喷嚏,other
feature_c331cb47,呼吸啰音,other
feature_775feff9,呼吸有罗音,other
feature_aaca1d51,眼角流泡沫样液体,other
feature_12fda569,干酪样物质偶尔脸肿大,other
feature_3f95caa4,较硬,other
feature_fd5861b2,怪叫,other
feature_1b1028d6,传播快,epidemiology
feature_6adac012,呼吸时发出异常声音,other
feature_95cbbb58,喉头,other
feature_fdb00da1,支气管粘液增多,other
feature_27b41405,气管由上自下粘液明显增多,other
feature_4fdfae75,时常会在支气管的三叉口出现栓塞,symptom
feature_54b2dddb,部分病鸡前期的时候在肺部,pathology
feature_ae1e7d65,气管的交接出会有白色的黏液状物质,other
feature_a4e74084,中后期就会变成硬块堵死气管,other
feature_6d0eb3a9,发病迅速,other
feature_14ad3a9c,张口伸颈,other
feature_4a48e157,死亡快,other
feature_c54e4d2a,咳出带血的粘液,other
feature_a5e1a9ba,气管出血,symptom
feature_f0e20780,有大量黏液,other
feature_987d7cd2,血凝块,other
feature_f14b8409,张口呼吸,other
feature_306197ed,呼吸及吞咽困难,other
feature_5eaf5abb,窒息死亡,other
feature_fa420ede,口腔及咽喉部粘膜出现痘疹,symptom
feature_6a30350d,假膜,other
feature_1335b092,混合其他病型,other
feature_fcd0370a,还可见少毛,symptom
feature_f867f4b2,无毛的皮肤处出现痘,symptom
feature_54b97f53,呼吸时有啰音,other
feature_646e78ab,气管有环状出血及分泌物,symptom
feature_dbfbd074,病禽发烧,other
feature_740c8ea7,产蛋率下降幅度较大,other
feature_24da5bc9,软壳蛋多,other
feature_0a9c6973,有时见输卵管炎,pathology
feature_2a7b7fb6,肺有大小不等,pathology
feature_c83ef8cf,黄白色坏死结节,pathology
feature_ab869f94,多发于2周龄以内的雏鸡,age_feature
feature_bcb94099,拉白色糊状粪,other
feature_4f4c87d3,心脏,pathology
feature_7d7ec50e,肝脏也有坏死结节,pathology
feature_ba52cfc7,气囊混浊,pathology
feature_2ac7a66c,增厚,other
feature_70a8ab41,囊腔内有黄色干酪物,other
feature_3c559558,多发于4-8周以内的幼鸡,other
feature_e0c7ab51,肝脏无病变,pathology
feature_b0956a56,气囊上有黄灰色,pathology
feature_5759aad5,大小不等的坏死结节,pathology
feature_daa276c0,多发生雏鸡,age_feature
feature_2140d726,病鸡呼吸困难,symptom
feature_5f0ba861,胸壁上也有坏死结节,pathology
feature_a1b26eb3,柔软而富有弹性,other
feature_d9c7d2a8,内容物呈干酪样,other
feature_4ce075ab,可见霉菌斑,symptom
feature_60b8e2bb,镜检可见霉菌菌丝及孢子,symptom
feature_ce6274ce,肝肿大,other
feature_5b417f48,表面布满黄白色针尖大坏死点,pathology
feature_ea5ef38b,成年鸡易发,age_feature
feature_8d88cfe3,常突然发病,other
feature_9a7e25ba,死亡多为壮鸡,other
feature_4fac697f,心冠脂肪,other
feature_b0e66b77,心外膜有大量出血点,symptom
feature_d2f80fb7,十二指肠严重出血,symptom
feature_cefddd19,表面布满灰白色针尖大坏死点,pathology
feature_26362c79,多发生于雏鸡,age_feature
feature_18c29f98,青年鸡,age_feature
feature_4fa3d8e1,雏鸡拉白色的糊状粪,age_feature
feature_8874d80c,肺上也有坏死灶,pathology
feature_51338f5a,青年鸡的肝有时呈铜绿色,age_feature
feature_726f12eb,表面有一层灰白色薄膜,other
feature_8aae4fb7,即肝周炎,other
feature_a1679b30,各个阶段的鸡都易发,other
feature_23d757df,有纤维素性心包炎,other
feature_a2d2f4bd,肝周炎,other
feature_e17174cb,腹膜炎,other
feature_51368bb3,表面,other
feature_824e177b,实质内有黄色,other
feature_13b90403,星芒状的小坏死灶,pathology
feature_3535efd6,多发生于青年鸡,age_feature
feature_568ccc6a,新开产的母鸡,other
feature_e82cf2ec,肝脏被膜下有出血区形成水肿,symptom
feature_8d97db0e,表面有圆形,other
feature_a358038e,不规则形状中心凹陷,other
feature_38de712d,周边隆起的溃疡灶,pathology
feature_813e57b6,多发生于8周龄至四月龄的鸡,age_feature
feature_8dd0f9c9,一侧盲肠肿大,pathology
feature_dd9024f9,内有香肠状的干酪样凝固栓子,other
feature_905dc7d5,切开呈同心圆状,other
feature_a2081838,表面有灰白色肿瘤结节,pathology
feature_ce38598a,多发于6-18周龄的鸡,age_feature
feature_6c87c82c,肾等器官也有肿瘤结节,pathology
feature_f1b399af,但法氏囊常萎缩,pathology
feature_bb6bc282,呈黄色,other
feature_6d1399a6,质地松软,other
feature_2990d3ce,表面有小出血点,symptom
feature_8f366c29,多发于成年鸡,age_feature
feature_76ad51b4,肉髯,other
feature_a752486d,肌肉苍白贫血,other
feature_17f0155b,肝脏出血腹腔内有血凝块,symptom
feature_ff602666,血水,other
feature_208dc4d3,腹腔,other
feature_93f12988,肠系粘膜有大量脂肪沉积,other
feature_6a4877b4,排白色水样粪便肾肿,other
feature_1d4014bf,有白色尿酸盐沉积,other
feature_21826225,呈花斑状,other
feature_fb18b87c,3-6周龄雏鸡多发,age_feature
feature_3e3cc224,内有果酱样物,other
feature_8e3ffad7,胸部及腿部肌肉出血,symptom
feature_e406cf7c,排白色水样稀便,other
feature_793d5ea5,肾脏肿大,pathology
feature_c9de6d45,颜色变淡,other
feature_c3bb6ace,有大量尿酸盐沉积,other
feature_3c896218,多见于3-10周龄鸡,age_feature
feature_f1ca3ce6,两侧肾脏肿胀严重,symptom
feature_9fa13840,有尿酸盐沉着,other
feature_ac4dba5b,质地坚硬,other
feature_55350eca,成年鸡产蛋量下降,age_feature
feature_e7d2c555,蛋壳粗糙,other
feature_80865b55,产畸形蛋,other
feature_9d148241,病鸡康复后产蛋量难以恢复到原有水平,epidemiology
feature_1cee70e9,排白色石灰样稀粪,symptom
feature_8a36ab77,肾肿,other
feature_7bcc15f4,肾脏颜色变黄,pathology
feature_cfbe16d0,有大量尿酸盐趁着,other
feature_d7aa06dd,通常一侧萎缩,other
feature_eab2a369,另一侧明显肿胀,symptom
feature_7b3465fe,输尿管增粗,other
feature_987d1bd1,有大量白色尿酸盐,other
feature_ac53d31c,有时可见结石,symptom
feature_c85a110a,心外膜,other
feature_e8b9e9b8,心包腔肝被膜均见有大量尿酸盐覆盖,other
feature_3ace333f,肾不肿,other
feature_20235269,稍肿,other
feature_94680753,呈淡黄色,other
feature_360d2193,排白色稀粪,symptom
feature_32b072d0,1日龄鸡最易感染,age_feature
feature_bf3e453e,成年鸡呈隐性感染,age_feature
feature_3a8196c7,不出现肾炎病变,symptom
feature_2b307ee9,内脏可见尿酸盐沉积,symptom
feature_059ac401,特征性症状是生长发育停滞,symptom
feature_0f41a6ff,产蛋量下降,other
feature_b671cd27,而蛋品质没有变化,other
